timestamps,open,high,low,close,volume
2024-09-23,376.75,376.75,365.1,371.91,19558
2024-09-24,363.89,368.29,360.16,364.27,31133
2024-09-25,371.47,371.47,367.12,367.88,13241
2024-09-26,371.98,378.03,365.33,371.61,23768
2024-09-27,371.76,371.76,370.06,370.77,19104
2024-09-30,355.87,359.24,355.87,357.48,30581
2024-10-01,354.73,355.78,353.14,354.62,9723
2024-10-02,350.86,350.86,349.68,350.24,11926
2024-10-03,350.9,352.33,350.45,351.41,14387
2024-10-04,363.68,365.5,358.98,361.81,12230
2024-10-07,365.65,365.65,363.7,363.9,15458
2024-10-08,360.16,367.05,360.16,364.65,8376
2024-10-09,363.5,365.53,363.5,365.12,12950
2024-10-10,367.94,370.68,366.43,368.05,25638
2024-10-11,374.2,375.57,373.26,374.3,21224
2024-10-14,379.36,379.36,378.34,378.83,9771
2024-10-15,384.87,384.87,383.84,384.14,13281
2024-10-16,384.7,388.29,381.77,384.33,7355
2024-10-17,386.19,392.17,378.2,386.49,58421
2024-10-18,389.18,393.86,386.17,389.63,15625
2024-10-21,395.49,395.49,390.48,391.54,23314
2024-10-22,394.48,396.71,392.41,394.55,9972
2024-10-23,390.08,393.62,387.66,389.37,15549
2024-10-24,386.24,388.03,379.81,385.25,6079
2024-10-25,380.92,383.23,377.76,380.61,11925
2024-10-28,386.37,392.68,385.2,388.05,22026
2024-10-29,394.04,394.04,390.23,392.5,34396
2024-10-30,395.73,395.73,389.42,393.28,9813
2024-10-31,390.17,392.52,385.98,388.74,11210
2024-11-01,385.22,386.78,378.02,383.95,9037
2024-11-04,377.89,382.02,372.63,377.2,43372
2024-11-05,384.64,387.82,382.91,384.97,19066
2024-11-06,382.03,386.52,379.82,382.35,16780
2024-11-07,380.59,384.69,375.83,382.05,19669
2024-11-08,386.6,386.6,384.13,385.11,13586
2024-11-11,388.19,388.19,379.89,385.94,15868
2024-11-12,382.59,384.75,380.58,382.74,29611
2024-11-13,375.7,376.69,375.7,376.15,39705
2024-11-14,370.14,374.2,367.62,369.19,9905
2024-11-15,376.4,378.95,372.72,377.17,12115
2024-11-18,384.44,384.44,381.24,381.52,11080
2024-11-19,376.15,379.95,375.65,377.31,25932
2024-11-20,379.65,383.83,367.1,377.98,18533
2024-11-21,369.02,374.75,369.02,372.04,34657
2024-11-22,365.94,368.09,360.43,365.13,18051
2024-11-25,367.98,368.55,365.76,367.88,12444
2024-11-26,370.5,375.44,366.77,371.0,17276
2024-11-27,377.61,377.61,376.09,376.94,11247
2024-11-28,376.47,381.12,375.59,377.74,13199
2024-11-29,379.19,381.84,376.63,378.49,15866
2024-12-02,371.67,371.76,369.33,370.53,19866
2024-12-03,378.1,382.97,376.41,380.75,31001
2024-12-04,387.52,389.22,386.89,388.36,18757
2024-12-05,387.87,394.71,385.01,389.01,5104
2024-12-06,376.73,378.48,376.73,378.27,16800
2024-12-09,384.94,389.18,381.5,384.37,28935
2024-12-10,382.38,387.54,380.64,384.52,25450
2024-12-11,381.81,387.43,380.32,383.59,15218
2024-12-12,385.16,393.19,381.64,386.07,28246
2024-12-13,400.96,401.22,398.33,399.79,19780
2024-12-16,407.99,409.68,404.0,405.79,23912
2024-12-17,412.14,415.2,412.14,413.97,32504
2024-12-18,416.36,416.8,416.36,416.8,21315
2024-12-19,409.76,411.67,408.76,410.66,6542
2024-12-20,424.45,425.04,421.81,423.27,11371
2024-12-23,420.63,423.13,420.63,422.48,7527
2024-12-24,423.02,431.13,414.36,421.26,13516
2024-12-25,418.65,421.73,418.65,420.77,12980
2024-12-26,428.82,433.23,422.52,426.15,15252
2024-12-27,430.62,433.04,426.91,430.32,15218
2024-12-30,434.85,435.05,434.78,434.9,17685
2024-12-31,426.74,433.98,418.21,426.85,32235
2025-01-01,412.06,413.28,409.88,411.4,16387
2025-01-02,420.08,426.11,413.83,418.69,16402
2025-01-03,419.94,422.8,415.59,419.04,9629
2025-01-06,415.29,417.06,414.68,416.31,20422
2025-01-07,418.93,418.93,411.11,414.79,12640
2025-01-08,409.17,412.21,409.17,410.89,13878
2025-01-09,415.42,423.45,411.3,418.23,9487
2025-01-10,414.04,414.83,413.13,413.89,11607
2025-01-13,414.56,416.59,414.56,415.94,12374
2025-01-14,419.6,424.42,415.77,418.39,7423
2025-01-15,422.63,422.63,418.83,419.79,11019
2025-01-16,416.14,422.35,406.5,414.73,29823
2025-01-17,417.7,423.04,415.03,420.09,30881
2025-01-20,421.6,428.9,417.51,422.34,17354
