timestamps,open,high,low,close,volume
2024-09-23,159.09,159.76,157.84,159.09,41048
2024-09-24,155.13,157.26,154.36,156.04,16133
2024-09-25,155.29,158.29,155.29,157.73,16546
2024-09-26,158.81,163.44,157.12,159.72,15134
2024-09-27,158.88,159.65,158.8,159.25,13868
2024-09-30,162.19,163.1,162.1,162.51,24370
2024-10-01,161.15,165.01,157.0,161.59,17659
2024-10-02,159.08,160.68,158.49,159.49,20913
2024-10-03,165.71,166.68,164.57,165.24,26241
2024-10-04,163.29,163.71,163.29,163.7,11869
2024-10-07,161.56,161.9,160.85,161.36,29073
2024-10-08,158.51,159.49,157.06,158.18,15228
2024-10-09,159.31,159.31,157.58,157.91,16616
2024-10-10,154.55,154.55,152.51,153.18,49486
2024-10-11,153.44,154.01,151.75,153.18,13155
2024-10-14,157.14,157.9,154.75,156.82,9020
2024-10-15,152.77,154.52,151.83,153.06,21213
2024-10-16,154.03,155.83,153.07,153.78,29542
2024-10-17,155.98,156.23,155.42,155.76,9994
2024-10-18,157.36,158.39,157.36,158.25,13137
2024-10-21,160.37,160.38,159.33,159.81,16960
2024-10-22,161.8,162.38,161.24,162.07,19317
2024-10-23,161.82,162.2,161.63,161.99,12917
2024-10-24,156.48,158.73,156.48,157.77,15183
2024-10-25,159.33,160.83,155.74,157.8,27305
2024-10-28,157.19,160.49,153.65,156.99,28917
2024-10-29,152.5,152.79,152.01,152.28,11243
2024-10-30,148.73,149.37,148.44,148.91,23240
2024-10-31,146.55,146.55,145.12,145.34,12177
2024-11-01,146.39,147.42,146.39,147.03,35123
2024-11-04,147.2,147.84,146.76,147.46,8861
2024-11-05,147.04,147.74,145.97,147.15,5318
2024-11-06,150.34,151.62,150.34,151.07,11596
2024-11-07,148.84,150.98,147.44,149.17,11008
2024-11-08,159.14,160.27,155.97,158.36,15879
2024-11-11,158.42,160.1,153.86,156.98,13220
2024-11-12,153.85,153.85,153.48,153.53,16240
2024-11-13,156.76,157.61,154.68,156.55,16456
2024-11-14,157.95,162.11,155.56,158.56,12197
2024-11-15,163.8,163.8,161.18,163.11,12051
2024-11-18,165.31,169.33,164.6,166.32,23858
2024-11-19,166.36,168.88,164.18,166.61,21498
