timestamps,open,high,low,close,volume
2024-09-23,246.71,248.05,246.71,247.74,6007
2024-09-24,243.62,245.32,243.62,244.58,13337
2024-09-25,247.91,249.63,245.14,248.12,18486
2024-09-26,247.08,247.89,243.27,244.81,22828
2024-09-27,244.86,245.34,244.86,245.28,17487
2024-09-30,237.79,238.0,235.14,236.46,11372
2024-10-01,233.58,234.37,233.58,234.32,22851
2024-10-02,233.14,233.14,230.66,231.08,13245
2024-10-03,222.29,225.41,221.89,223.51,19238
2024-10-04,223.1,226.24,220.48,223.04,14007
2024-10-07,224.94,226.82,224.5,225.53,12807
2024-10-08,229.37,230.91,228.01,229.88,13186
2024-10-09,231.58,231.78,230.15,230.95,20351
2024-10-10,228.54,232.79,225.98,229.65,20689
2024-10-11,233.89,233.89,232.45,232.51,8638
2024-10-14,240.16,241.66,235.51,239.58,21830
2024-10-15,242.64,245.85,239.4,242.12,16113
2024-10-16,251.03,251.51,251.03,251.47,13355
2024-10-17,242.41,244.13,241.95,243.34,30899
2024-10-18,237.86,237.86,235.1,235.89,9082
2024-10-21,238.47,238.47,234.95,235.63,31014
2024-10-22,238.03,239.59,234.93,236.94,25263
2024-10-23,237.93,238.09,237.93,238.08,14389
2024-10-24,232.28,235.47,232.28,234.31,3283
2024-10-25,227.5,229.2,227.5,228.91,28208
2024-10-28,225.01,228.78,224.11,226.23,11103
2024-10-29,223.74,224.4,221.1,223.56,11023
2024-10-30,226.14,230.13,224.26,226.5,10095
2024-10-31,224.35,225.74,224.02,225.0,20473
2024-11-01,225.47,226.12,225.47,226.08,16722
2024-11-04,225.99,228.83,223.57,226.5,11819
2024-11-05,222.31,222.53,222.2,222.31,22645
2024-11-06,223.12,223.74,222.25,223.03,31495
2024-11-07,221.81,223.65,221.81,223.07,21746
2024-11-08,221.05,221.52,221.05,221.23,7546
2024-11-11,220.65,221.79,218.03,220.21,17502
2024-11-12,225.81,229.27,223.19,226.59,16067
2024-11-13,227.45,232.9,221.56,228.88,8920
2024-11-14,219.61,222.38,219.1,220.23,23292
2024-11-15,221.71,223.75,219.41,221.66,11752
2024-11-18,222.19,222.19,220.84,221.02,65354
2024-11-19,215.25,216.44,214.32,215.18,11574
2024-11-20,219.03,219.03,216.45,217.64,8613
2024-11-21,219.05,221.53,219.05,221.4,28762
2024-11-22,218.88,222.33,218.72,219.74,19744
2024-11-25,219.72,219.72,217.98,218.35,17484
2024-11-26,219.43,221.36,216.87,219.72,36253
2024-11-27,213.18,217.48,211.24,215.54,17580
2024-11-28,215.0,218.51,209.07,213.25,23150
2024-11-29,224.97,228.79,222.69,225.01,8665
2024-12-02,220.2,220.2,219.09,219.42,14960
2024-12-03,218.86,222.02,214.37,217.34,8699
2024-12-04,203.35,204.74,203.35,204.58,9846
2024-12-05,206.6,206.6,206.14,206.25,19153
2024-12-06,204.17,205.36,204.17,205.07,11810
2024-12-09,199.31,201.18,199.0,200.01,6893
2024-12-10,201.46,203.43,196.72,200.43,7909
2024-12-11,198.66,198.66,197.29,197.64,18624
2024-12-12,203.43,208.5,203.43,205.45,18323
2024-12-13,208.46,208.94,208.46,208.69,23166
2024-12-16,203.02,205.29,203.02,204.51,12805
2024-12-17,198.01,200.39,198.01,199.21,12595
2024-12-18,202.68,202.89,199.59,201.27,20654
2024-12-19,195.75,198.54,192.78,196.04,18068
2024-12-20,198.71,198.79,198.43,198.59,13293
2024-12-23,201.21,201.21,198.23,199.24,21378
2024-12-24,195.73,196.88,193.7,194.88,13419
2024-12-25,195.34,196.02,193.84,194.97,8848
2024-12-26,198.44,199.2,198.03,198.55,27891
2024-12-27,193.69,195.92,192.56,194.69,8573
2024-12-30,198.63,203.47,198.46,199.82,18589
2024-12-31,199.02,201.72,197.35,199.11,16317
2025-01-01,199.09,201.17,195.81,197.76,10918
2025-01-02,197.02,200.67,191.04,196.12,11656
2025-01-03,193.03,193.03,191.79,192.34,8642
2025-01-06,195.02,195.74,195.02,195.64,18913
2025-01-07,196.24,196.78,195.43,196.13,17777
2025-01-08,194.65,197.35,193.43,194.78,21277
2025-01-09,194.63,196.02,191.49,193.7,14102
2025-01-10,200.85,201.15,198.44,200.24,8080
2025-01-13,206.0,215.14,201.09,206.92,9063
