timestamps,open,high,low,close,volume
2024-09-23,191.87,192.01,190.12,191.12,14344
2024-09-24,195.91,195.91,194.24,194.59,24163
2024-09-25,196.39,197.62,196.0,196.74,12668
2024-09-26,198.69,200.27,198.69,200.08,40358
2024-09-27,202.86,204.82,202.86,204.18,18924
2024-09-30,202.83,207.57,199.61,203.77,36778
2024-10-01,197.93,199.39,197.03,197.86,6006
2024-10-02,197.43,199.58,195.21,198.04,34505
2024-10-03,198.35,198.89,195.15,197.7,28431
2024-10-04,199.07,199.07,197.13,197.27,26889
2024-10-07,192.42,193.85,190.29,192.6,10756
2024-10-08,193.35,194.23,192.83,193.6,25679
2024-10-09,194.09,195.12,191.25,193.03,22485
2024-10-10,203.53,203.53,202.23,202.64,31352
2024-10-11,208.64,211.74,208.06,209.65,23134
2024-10-14,207.9,214.1,204.8,209.24,31729
2024-10-15,206.73,209.34,204.7,206.36,75920
2024-10-16,201.96,201.96,199.0,200.19,10603
2024-10-17,199.31,202.42,196.87,198.82,18417
2024-10-18,198.13,199.38,195.66,197.77,34418
2024-10-21,197.2,203.03,192.74,197.49,15126
2024-10-22,196.15,196.29,193.24,194.88,17340
2024-10-23,193.92,196.06,192.64,194.92,13733
2024-10-24,200.6,203.28,197.22,200.07,28914
2024-10-25,196.63,200.67,194.45,197.14,19690
2024-10-28,200.8,201.65,199.36,200.57,21373
2024-10-29,202.43,203.43,202.43,203.09,34473
2024-10-30,201.73,201.73,201.32,201.42,41205
2024-10-31,201.57,204.26,201.57,203.93,27144
2024-11-01,205.14,207.39,202.37,205.03,7842
2024-11-04,200.98,202.67,200.84,201.9,15959
2024-11-05,200.7,200.7,198.84,198.96,32679
2024-11-06,197.1,200.38,196.58,197.61,21422
2024-11-07,192.63,195.13,191.86,193.46,31768
2024-11-08,194.22,195.93,190.85,194.23,16617
2024-11-11,194.55,195.23,192.86,193.83,9079
2024-11-12,198.78,200.01,196.39,198.15,30183
2024-11-13,199.65,199.65,198.34,198.86,61290
2024-11-14,193.69,194.87,192.02,193.57,11501
2024-11-15,189.4,190.23,189.05,189.8,18387
2024-11-18,190.86,192.31,190.24,191.3,41015
2024-11-19,193.08,195.84,193.08,194.67,18805
2024-11-20,195.6,195.6,195.38,195.39,20000
2024-11-21,198.37,199.47,198.0,198.72,17522
2024-11-22,194.3,196.45,193.66,195.42,34854
2024-11-25,190.1,190.25,189.59,189.88,7637
2024-11-26,189.94,194.03,187.16,189.91,35418
2024-11-27,188.06,188.87,185.67,187.92,50924
2024-11-28,185.99,187.56,184.76,186.31,26547
2024-11-29,183.03,187.52,178.07,181.84,11124
2024-12-02,177.62,180.36,175.41,177.96,37443
2024-12-03,175.94,176.26,175.16,175.69,63854
2024-12-04,175.89,176.51,175.89,176.32,14897
2024-12-05,175.84,181.79,172.91,176.68,13367
2024-12-06,178.76,179.78,177.56,178.44,24887
2024-12-09,171.65,171.89,171.65,171.86,13720
2024-12-10,171.06,171.53,169.23,170.18,38422
2024-12-11,163.87,165.2,161.88,164.05,34625
2024-12-12,160.63,161.17,159.75,160.41,54052
2024-12-13,161.34,161.34,159.93,160.71,18315
2024-12-16,161.97,166.24,160.63,163.36,33458
2024-12-17,165.4,165.4,163.95,164.27,16247
2024-12-18,163.2,164.28,162.1,163.24,43533
2024-12-19,160.59,164.58,160.59,162.0,17801
2024-12-20,164.35,168.8,161.59,164.48,31257
2024-12-23,163.75,165.72,160.92,163.56,13739
2024-12-24,164.63,165.23,163.79,164.55,25034
2024-12-25,165.85,166.2,165.85,166.01,14089
2024-12-26,167.49,168.47,167.49,168.24,22350
