timestamps,open,high,low,close,volume
2024-09-23,709.89,712.63,703.02,706.29,6584
2024-09-24,689.24,696.37,687.03,693.0,18890
2024-09-25,714.46,714.46,712.3,712.95,2277
2024-09-26,729.97,730.75,719.45,727.16,33193
2024-09-27,718.09,727.42,718.09,723.39,7958
2024-09-30,718.42,728.27,718.42,724.72,10759
2024-10-01,713.13,722.94,709.56,716.27,15419
2024-10-02,720.57,720.57,715.23,718.53,21152
2024-10-03,700.59,711.03,700.47,705.53,7259
2024-10-04,704.78,704.78,693.43,700.33,32305
2024-10-07,709.66,709.66,704.16,705.81,17666
2024-10-08,716.36,716.36,702.48,711.39,23269
2024-10-09,723.24,733.0,717.57,725.71,17205
2024-10-10,735.25,743.08,727.05,737.72,8096
2024-10-11,747.24,747.24,743.63,745.0,28297
2024-10-14,733.31,755.75,723.8,733.31,31686
2024-10-15,732.88,732.88,723.41,725.91,9499
2024-10-16,718.32,728.01,713.43,719.87,20908
2024-10-17,720.5,722.53,707.66,716.63,9103
2024-10-18,739.02,739.02,723.29,728.7,12765
2024-10-21,746.81,747.5,744.34,745.74,7636
2024-10-22,726.24,726.24,723.2,724.05,15580
2024-10-23,700.41,706.68,696.79,702.77,26512
2024-10-24,696.54,704.9,686.39,696.72,20110
2024-10-25,707.29,710.01,707.29,709.07,11686
2024-10-28,725.72,725.72,719.25,719.96,15465
2024-10-29,706.62,709.61,706.62,709.15,20421
2024-10-30,705.16,715.46,700.8,705.88,7403
2024-10-31,704.09,710.68,704.09,707.19,27535
2024-11-01,703.39,722.03,682.52,703.26,7953
2024-11-04,711.12,715.2,711.12,714.49,11027
2024-11-05,724.74,724.74,721.42,722.07,13372
2024-11-06,715.87,719.54,709.43,715.41,13814
2024-11-07,747.87,754.81,740.08,747.77,14023
2024-11-08,757.93,757.93,750.57,755.26,6233
2024-11-11,731.63,742.38,725.98,737.08,12813
2024-11-12,743.36,744.32,743.36,744.28,17397
2024-11-13,751.11,751.11,747.36,748.25,8270
2024-11-14,770.2,771.54,758.9,765.17,4700
2024-11-15,772.12,775.8,760.51,770.09,19667
2024-11-18,798.42,806.99,782.18,793.07,20344
2024-11-19,789.43,800.52,781.46,789.68,14723
2024-11-20,773.97,775.77,773.97,775.37,7335
2024-11-21,770.45,793.19,753.82,769.98,18603
2024-11-22,740.61,746.49,730.15,737.83,12606
2024-11-25,743.05,744.7,742.07,743.76,26493
2024-11-26,740.02,748.63,740.02,748.3,7347
2024-11-27,744.01,748.65,744.01,746.97,17759
2024-11-28,739.88,739.88,738.39,739.01,20006
2024-11-29,740.22,745.0,736.7,740.61,28957
2024-12-02,723.54,725.87,710.98,718.7,6878
2024-12-03,716.82,723.47,713.94,719.51,9420
2024-12-04,727.0,731.16,727.0,728.49,9008
2024-12-05,717.67,727.87,706.89,717.1,12117
2024-12-06,699.12,699.5,699.12,699.35,12527
2024-12-09,700.92,705.71,691.24,699.65,6395
2024-12-10,696.16,696.16,691.71,692.9,17412
2024-12-11,679.78,698.65,670.7,684.78,17293
2024-12-12,681.64,715.81,662.67,680.23,24156
2024-12-13,706.89,711.48,698.95,706.66,24488
2024-12-16,708.62,711.21,708.62,710.28,13018
2024-12-17,693.6,706.22,693.6,701.02,15696
2024-12-18,700.65,716.67,700.65,705.86,6870
2024-12-19,723.56,735.73,723.56,730.06,15821
2024-12-20,715.65,722.39,711.46,715.66,29108
2024-12-23,710.88,710.88,708.06,709.21,6506
2024-12-24,712.62,722.27,696.68,712.71,12672
2024-12-25,688.48,702.38,676.34,690.46,14178
2024-12-26,690.68,701.07,688.76,692.86,16145
2024-12-27,693.7,698.69,687.51,693.71,27738
2024-12-30,691.86,701.08,684.88,696.05,12941
2024-12-31,675.07,680.43,673.56,677.48,29943
2025-01-01,660.83,671.7,660.83,668.46,11246
2025-01-02,672.46,681.36,671.95,676.37,13061
2025-01-03,658.16,663.24,656.5,659.66,9878
2025-01-06,672.89,672.89,666.91,670.15,25870
2025-01-07,674.82,677.06,663.71,672.32,18707
2025-01-08,668.56,680.4,662.27,668.76,14382
2025-01-09,664.5,674.99,662.53,667.16,13029
2025-01-10,673.62,673.62,669.38,669.47,9590
2025-01-13,679.33,679.33,674.4,675.5,22176
2025-01-14,676.39,680.25,673.29,675.6,24511
2025-01-15,692.16,698.43,675.14,686.73,18916
2025-01-16,680.19,684.78,679.88,682.84,20027
2025-01-17,687.12,697.37,676.01,688.42,8533
2025-01-20,679.58,689.84,676.39,683.03,25987
2025-01-21,686.28,693.89,672.12,686.37,15003
2025-01-22,689.86,692.67,682.78,688.66,6178
2025-01-23,697.19,712.11,684.4,694.44,9793
2025-01-24,699.94,704.24,699.94,702.82,7021
2025-01-27,701.64,701.64,700.79,701.01,16069
2025-01-28,707.49,718.88,700.26,708.16,7867
2025-01-29,703.62,710.57,695.98,701.79,14644
2025-01-30,697.54,700.34,689.24,695.98,35390
2025-01-31,691.18,699.96,684.75,690.38,11263
2025-02-03,674.2,684.04,674.2,679.75,10730
2025-02-04,673.06,674.02,668.15,670.82,15371
2025-02-05,659.06,659.06,650.21,652.93,11146
2025-02-06,660.51,674.96,648.31,661.81,11980
2025-02-07,666.98,668.38,662.17,664.98,35977
2025-02-10,654.65,661.3,654.07,657.97,26690
2025-02-11,646.63,649.1,639.72,643.93,9488
2025-02-12,646.42,647.21,646.42,647.18,19401
2025-02-13,643.17,645.83,639.47,642.19,12268
2025-02-14,645.89,647.04,640.08,642.85,16894
2025-02-17,650.96,655.66,629.19,647.04,11225
2025-02-18,617.97,627.4,617.97,623.37,21064
2025-02-19,639.47,642.23,637.92,641.08,10622
2025-02-20,621.48,627.02,621.39,623.6,25244
2025-02-21,602.71,603.1,597.55,599.94,8870
2025-02-24,589.99,601.53,585.66,592.55,16374
2025-02-25,591.05,591.05,585.25,586.18,10602
2025-02-26,573.18,579.7,568.31,573.44,14981
2025-02-27,568.23,568.23,560.23,562.61,4320
2025-02-28,556.66,561.84,554.55,559.95,7487
2025-03-03,550.77,550.77,548.24,548.67,22994
2025-03-04,561.5,568.29,550.65,559.62,8250
2025-03-05,558.01,574.94,543.94,560.87,18784
2025-03-06,562.83,566.42,558.61,561.84,24015
2025-03-07,561.29,561.29,554.77,558.1,30374
2025-03-10,570.53,577.1,559.35,567.48,25292
2025-03-11,573.61,583.47,568.24,572.61,7036
2025-03-12,558.22,569.64,546.82,558.72,10044
2025-03-13,544.64,553.5,539.97,547.13,5568
2025-03-14,564.98,572.99,563.55,568.66,9252
2025-03-17,556.17,562.54,554.89,558.16,29652
2025-03-18,564.17,564.61,561.1,563.24,10039
2025-03-19,549.67,556.85,549.67,553.85,12772
2025-03-20,531.6,545.3,520.47,535.97,9262
2025-03-21,550.39,555.71,548.26,552.3,24847
2025-03-24,542.69,548.9,540.32,544.18,8489
2025-03-25,547.44,550.73,542.08,544.91,16410
2025-03-26,539.42,543.77,531.08,538.94,16969
2025-03-27,541.95,542.42,538.86,540.87,32161
