timestamps,open,high,low,close,volume
2024-09-23,241.28,244.15,240.61,242.32,19955
2024-09-24,238.68,249.64,230.8,239.24,13323
2024-09-25,229.23,231.83,229.23,231.63,11260
2024-09-26,225.73,227.14,225.73,226.69,66399
2024-09-27,223.72,225.33,221.07,223.04,37464
2024-09-30,216.65,218.04,215.71,216.59,17395
2024-10-01,217.34,219.09,217.07,218.29,11489
2024-10-02,222.62,223.69,221.75,222.75,27832
2024-10-03,220.45,221.18,219.02,220.32,17712
2024-10-04,219.3,219.45,218.69,218.99,8461
2024-10-07,213.09,214.75,212.75,213.68,30574
2024-10-08,215.38,217.33,213.31,214.84,18488
2024-10-09,215.56,218.76,214.83,216.19,12356
2024-10-10,219.5,219.5,218.22,218.4,27986
2024-10-11,222.67,224.44,221.78,223.13,29204
2024-10-14,224.18,224.95,221.85,222.7,12072
2024-10-15,228.9,237.87,225.22,228.54,15244
2024-10-16,226.57,230.9,222.01,226.47,27232
2024-10-17,227.95,231.62,223.15,227.51,37322
2024-10-18,226.34,226.34,225.53,225.63,25039
2024-10-21,224.4,226.24,224.16,225.26,25690
2024-10-22,223.25,225.72,222.71,223.92,21418
2024-10-23,217.85,219.41,216.88,218.19,13112
2024-10-24,212.36,216.99,212.36,215.96,14773
2024-10-25,218.3,218.78,216.89,217.7,19636
2024-10-28,214.31,214.87,209.49,213.51,22443
2024-10-29,208.4,209.63,207.71,209.03,23112
2024-10-30,210.55,212.49,207.02,209.99,11185
2024-10-31,207.12,209.41,203.52,205.56,12796
2024-11-01,208.24,208.73,206.8,207.73,19078
2024-11-04,201.95,203.94,201.78,202.75,14644
2024-11-05,199.6,202.61,198.65,200.44,16077
2024-11-06,196.88,197.59,195.37,196.71,20272
2024-11-07,194.77,197.22,190.83,195.19,21389
2024-11-08,196.98,198.54,194.38,196.58,16206
2024-11-11,200.52,202.13,198.77,199.94,36177
2024-11-12,200.56,200.56,199.46,199.93,52171
2024-11-13,200.87,201.76,200.87,201.58,38874
2024-11-14,205.25,208.83,200.51,205.43,14509
2024-11-15,208.29,208.29,206.04,206.67,12724
2024-11-18,209.37,212.02,209.37,211.1,13317
2024-11-19,217.21,219.18,216.3,217.65,20758
