timestamps,open,high,low,close,volume
2024-09-23,220.87,224.05,215.44,219.76,9834
2024-09-24,217.81,221.56,217.81,219.96,17760
2024-09-25,229.19,229.84,228.39,229.2,27049
2024-09-26,228.27,235.63,227.6,229.67,6204
2024-09-27,225.3,234.99,219.87,228.38,20226
2024-09-30,228.54,230.29,228.54,229.83,10460
2024-10-01,231.07,231.55,231.07,231.5,31269
2024-10-02,231.09,231.85,230.86,231.29,23898
2024-10-03,233.02,233.02,228.59,229.56,14047
2024-10-04,227.27,227.27,222.47,224.14,15425
2024-10-07,218.99,218.99,215.51,217.22,10820
2024-10-08,214.82,216.41,212.94,214.55,9555
2024-10-09,215.48,217.7,215.48,217.0,22427
2024-10-10,211.08,211.33,210.4,210.74,19905
2024-10-11,210.39,214.27,207.34,210.29,6800
2024-10-14,214.6,214.6,214.15,214.27,12122
2024-10-15,201.79,203.63,198.8,202.18,11946
2024-10-16,201.86,201.86,200.98,201.07,12559
2024-10-17,203.41,204.76,203.41,204.33,11093
2024-10-18,205.04,205.79,203.24,204.81,27751
2024-10-21,199.41,207.46,193.45,199.77,5216
2024-10-22,201.31,203.87,197.38,200.2,9660
2024-10-23,190.48,191.16,190.48,191.03,10085
2024-10-24,186.88,187.21,185.8,186.7,13628
2024-10-25,187.38,188.1,186.91,187.6,19776
2024-10-28,182.65,183.13,181.85,182.64,18607
2024-10-29,179.24,182.83,175.22,180.17,2797
2024-10-30,186.61,186.61,184.57,184.78,11748
2024-10-31,182.5,183.75,176.0,181.22,12822
2024-11-01,183.44,184.9,182.28,183.21,48361
2024-11-04,188.47,192.18,183.63,186.3,6607
2024-11-05,185.84,190.49,180.47,185.37,23768
2024-11-06,179.84,180.52,179.79,180.29,18496
2024-11-07,185.02,185.12,184.05,184.55,20351
2024-11-08,186.85,186.85,185.68,186.1,17957
2024-11-11,184.46,184.69,181.05,182.53,11864
2024-11-12,182.32,183.37,180.51,181.79,5062
2024-11-13,184.44,187.66,181.2,184.91,23444
2024-11-14,185.7,187.51,184.75,186.15,12014
2024-11-15,188.31,189.38,184.13,186.47,19921
2024-11-18,181.04,185.82,181.04,183.34,26080
2024-11-19,179.25,180.54,176.58,178.74,8296
2024-11-20,178.06,180.08,177.62,178.57,16703
2024-11-21,184.98,184.98,184.2,184.58,20917
2024-11-22,192.87,192.87,192.11,192.28,6651
2024-11-25,194.61,196.04,194.11,195.13,9892
2024-11-26,191.82,192.38,191.1,191.64,7244
2024-11-27,189.17,189.23,188.13,188.63,5511
2024-11-28,194.1,195.66,191.69,193.55,17886
2024-11-29,200.78,203.86,200.66,201.49,14250
2024-12-02,209.88,210.21,204.81,208.37,12136
2024-12-03,215.63,217.3,210.94,214.46,4543
2024-12-04,217.27,222.92,210.68,216.44,20234
2024-12-05,220.92,223.13,220.08,221.41,8563
2024-12-06,223.86,223.86,220.68,221.53,12811
2024-12-09,219.3,220.38,217.1,218.85,19477
2024-12-10,216.3,218.77,216.3,218.08,4417
2024-12-11,218.21,222.93,216.41,218.5,9579
2024-12-12,217.41,218.37,215.83,217.48,32366
2024-12-13,228.24,229.37,221.56,225.08,35927
2024-12-16,226.75,226.75,226.45,226.58,8422
2024-12-17,220.36,221.69,218.38,220.26,12705
2024-12-18,218.48,218.95,218.38,218.64,10585
2024-12-19,220.78,221.97,214.04,219.35,43461
2024-12-20,218.65,224.75,214.01,219.74,7526
2024-12-23,222.72,225.51,218.77,222.77,12217
2024-12-24,213.68,213.68,213.15,213.38,27624
2024-12-25,213.2,214.93,212.97,213.45,14883
2024-12-26,217.19,217.19,215.09,216.29,13019
2024-12-27,216.3,217.47,212.45,216.08,11082
2024-12-30,216.91,216.91,215.82,216.22,16494
2024-12-31,214.93,217.11,212.77,215.58,10006
2025-01-01,212.04,216.83,209.13,212.02,12842
