timestamps,open,high,low,close,volume
2024-09-23,213.55,215.23,212.75,213.82,11050
2024-09-24,215.01,215.77,210.0,212.97,19707
2024-09-25,216.11,217.19,214.07,216.08,15475
2024-09-26,214.97,220.78,209.75,215.07,8544
2024-09-27,213.58,216.05,210.7,213.8,13334
2024-09-30,203.88,204.29,200.75,203.29,10614
2024-10-01,203.1,203.1,201.65,202.16,5349
2024-10-02,203.17,203.24,202.09,202.78,17261
2024-10-03,206.83,209.31,203.04,205.91,26397
2024-10-04,206.43,208.09,206.43,207.89,16347
2024-10-07,204.97,206.03,202.84,204.64,11282
2024-10-08,204.28,206.61,201.4,204.12,5835
2024-10-09,199.12,199.12,197.46,198.16,18598
2024-10-10,203.36,203.36,201.84,202.36,25672
2024-10-11,201.72,202.25,199.98,201.27,31695
2024-10-14,201.74,206.51,200.49,203.6,3431
2024-10-15,200.03,200.61,199.15,199.76,18470
2024-10-16,199.51,199.51,197.68,198.43,11327
2024-10-17,198.65,198.65,195.83,196.85,17542
2024-10-18,198.8,199.71,198.61,199.29,10732
2024-10-21,199.77,201.08,199.65,200.44,25989
2024-10-22,196.14,198.53,195.42,196.42,8428
2024-10-23,196.88,199.5,196.88,198.95,28863
2024-10-24,200.79,204.2,200.63,202.39,28276
2024-10-25,199.31,199.89,197.24,198.8,16145
2024-10-28,200.01,201.4,200.01,200.8,5585
2024-10-29,199.83,202.49,197.72,199.49,14823
2024-10-30,194.95,199.02,194.95,196.8,17315
2024-10-31,198.34,200.39,198.32,199.48,14299
2024-11-01,206.75,207.29,204.34,205.75,10922
2024-11-04,209.67,209.67,206.83,207.67,13086
2024-11-05,205.47,207.64,203.96,205.38,13431
2024-11-06,207.88,209.77,207.88,208.54,16619
2024-11-07,214.28,214.41,213.43,213.82,8151
2024-11-08,211.82,211.82,209.93,210.56,26643
2024-11-11,212.98,214.21,211.26,213.04,17449
2024-11-12,219.6,220.36,215.53,217.84,9991
2024-11-13,218.17,219.91,218.17,219.42,21031
2024-11-14,222.31,226.24,220.73,222.91,13043
2024-11-15,231.01,232.41,231.01,232.2,10045
2024-11-18,233.23,235.29,228.52,231.45,31333
2024-11-19,236.36,238.42,235.32,237.21,38192
2024-11-20,241.63,241.92,240.91,241.3,12399
2024-11-21,236.28,237.35,233.03,235.55,29034
2024-11-22,230.07,233.13,228.26,231.38,10960
2024-11-25,226.58,229.4,226.48,228.19,10651
2024-11-26,231.69,236.26,225.98,232.43,7384
2024-11-27,234.49,236.47,234.49,235.74,8581
2024-11-28,234.41,236.17,232.41,235.08,17231
2024-11-29,236.53,238.54,231.9,234.84,33359
2024-12-02,235.78,238.16,228.9,235.04,8450
2024-12-03,236.23,236.23,234.7,235.14,13957
2024-12-04,229.56,230.93,227.98,229.34,6753
2024-12-05,232.11,232.11,228.61,229.53,8495
2024-12-06,231.75,232.35,230.61,231.45,19480
2024-12-09,228.02,230.31,222.36,227.83,8087
2024-12-10,228.35,233.01,225.95,228.96,17673
2024-12-11,231.21,233.8,231.21,233.11,7282
2024-12-12,227.53,228.39,227.53,228.35,18259
2024-12-13,226.0,227.0,220.91,224.01,25929
2024-12-16,228.47,229.13,224.65,227.51,14285
2024-12-17,229.55,230.46,229.43,229.76,20820
2024-12-18,231.08,232.36,231.08,232.2,4887
2024-12-19,237.09,239.81,237.09,238.25,19400
2024-12-20,237.11,240.03,237.11,238.95,36619
2024-12-23,229.84,232.39,227.17,230.66,15336
2024-12-24,231.28,239.9,230.35,233.61,12151
2024-12-25,240.84,242.31,237.48,239.37,5818
2024-12-26,241.84,247.02,241.84,244.32,38426
2024-12-27,242.64,249.58,237.25,242.3,14916
2024-12-30,241.77,243.72,238.02,241.05,19181
2024-12-31,242.34,245.33,242.34,244.12,14655
2025-01-01,253.83,255.65,250.02,252.05,22958
2025-01-02,254.73,254.73,252.45,252.93,6052
2025-01-03,261.19,261.19,259.57,260.38,8668
2025-01-06,266.48,269.22,265.45,267.27,19531
2025-01-07,259.12,259.12,258.03,258.04,5289
2025-01-08,262.0,262.35,260.21,261.0,17147
