timestamps,open,high,low,close,volume
2024-09-23,515.76,521.72,514.22,517.87,29125
2024-09-24,515.02,522.92,509.35,514.92,44273
2024-09-25,514.08,517.07,511.46,513.51,23889
2024-09-26,490.9,495.25,490.9,495.04,9205
2024-09-27,496.1,497.19,489.37,494.14,26416
2024-09-30,501.83,501.83,500.28,500.38,26694
2024-10-01,498.81,504.62,498.66,500.47,17580
2024-10-02,509.83,527.27,505.52,517.02,20162
2024-10-03,511.7,513.78,511.7,512.91,9750
2024-10-04,512.85,515.9,510.32,513.74,6361
2024-10-07,506.15,514.91,500.68,506.7,8132
2024-10-08,487.2,487.2,483.93,484.88,13552
2024-10-09,482.9,490.63,474.4,482.0,17148
2024-10-10,475.93,480.01,475.93,478.34,13766
2024-10-11,487.55,491.79,487.55,491.58,7389
2024-10-14,510.34,513.96,510.34,513.92,8531
2024-10-15,510.75,510.96,509.42,510.0,9583
2024-10-16,508.8,526.62,500.12,511.09,13522
2024-10-17,515.73,515.73,511.92,512.32,21861
2024-10-18,524.26,524.26,517.0,518.37,16833
2024-10-21,507.71,518.02,505.36,511.34,35166
2024-10-22,511.34,519.61,511.34,515.39,11376
2024-10-23,524.36,531.17,521.01,524.24,10701
2024-10-24,520.29,528.33,520.29,526.59,20201
2024-10-25,539.32,540.89,529.54,536.19,10367
2024-10-28,519.31,528.81,508.03,516.95,23386
2024-10-29,527.7,530.71,526.91,528.77,41641
2024-10-30,520.3,522.51,516.27,518.08,17863
2024-10-31,502.23,502.23,495.91,500.02,14944
2024-11-01,503.49,505.66,503.49,504.96,9162
2024-11-04,499.98,500.95,493.52,497.46,14302
2024-11-05,494.76,502.13,491.28,496.05,12827
2024-11-06,500.81,508.0,499.69,502.46,15212
2024-11-07,492.08,495.11,491.06,492.38,12814
2024-11-08,486.8,488.6,478.73,484.85,24139
2024-11-11,477.25,483.54,468.0,478.24,10399
2024-11-12,480.98,480.98,479.92,480.52,20332
2024-11-13,490.37,490.37,486.38,487.25,10014
2024-11-14,485.35,491.1,479.91,484.69,19225
2024-11-15,480.64,482.97,479.23,481.63,9795
2024-11-18,479.98,484.72,477.11,480.03,19379
2024-11-19,483.86,492.84,470.82,484.6,16766
2024-11-20,487.75,493.88,484.82,489.92,50653
2024-11-21,495.04,496.56,490.16,493.31,11937
2024-11-22,488.88,496.39,485.54,490.3,27666
2024-11-25,499.2,505.91,495.39,500.09,12796
2024-11-26,492.71,492.71,487.26,490.05,16081
2024-11-27,503.15,505.84,494.66,500.2,45733
2024-11-28,504.52,518.51,501.93,506.37,3416
2024-11-29,520.73,534.89,503.77,519.72,14842
2024-12-02,530.63,537.8,525.23,530.67,18934
2024-12-03,528.59,534.45,525.99,528.24,13831
2024-12-04,509.6,512.21,506.92,509.38,7783
2024-12-05,501.75,509.84,494.76,504.36,14030
2024-12-06,505.17,505.17,500.15,502.28,14245
2024-12-09,511.49,518.0,504.82,514.4,31817
2024-12-10,508.53,514.85,502.17,508.01,5466
2024-12-11,523.69,525.86,522.67,524.25,16409
2024-12-12,519.41,519.41,516.17,516.73,7305
2024-12-13,520.71,523.91,516.93,521.01,26211
2024-12-16,530.17,531.92,523.37,527.83,15465
2024-12-17,530.47,536.95,528.88,531.64,28086
2024-12-18,538.91,542.93,534.62,537.5,17156
2024-12-19,538.52,539.56,533.94,536.62,15746
2024-12-20,543.75,543.75,537.96,539.84,20826
2024-12-23,540.46,553.02,538.92,545.13,12465
2024-12-24,533.24,538.48,533.24,535.2,13219
2024-12-25,546.87,547.44,545.7,546.52,34175
2024-12-26,547.33,565.37,543.01,550.55,12367
2024-12-27,563.57,571.74,552.94,566.23,7245
2024-12-30,554.32,556.65,549.67,551.96,30452
2024-12-31,567.41,567.41,562.17,565.31,23006
2025-01-01,579.56,580.12,579.56,579.91,13566
