timestamps,open,high,low,close,volume
2024-09-23,254.74,263.19,249.05,256.53,17656
2024-09-24,250.25,250.6,247.41,249.36,28326
2024-09-25,254.03,256.76,251.54,254.52,9349
2024-09-26,254.71,261.74,252.65,256.86,7172
2024-09-27,253.35,259.73,248.06,253.8,10014
2024-09-30,254.54,256.18,250.19,253.12,25526
2024-10-01,255.35,255.35,254.61,254.76,20545
2024-10-02,252.61,257.82,250.35,253.62,26480
2024-10-03,258.06,261.74,258.06,259.63,16386
2024-10-04,261.86,264.26,260.37,261.67,6033
2024-10-07,254.71,258.96,251.03,255.37,33366
2024-10-08,257.69,261.25,255.82,258.29,33424
2024-10-09,253.93,254.44,246.39,251.97,28814
2024-10-10,249.61,253.13,249.61,252.7,4488
2024-10-11,268.25,270.84,268.18,269.16,16369
2024-10-14,267.66,271.11,267.66,269.89,20180
2024-10-15,262.39,263.26,260.9,262.32,17265
2024-10-16,264.19,266.57,262.84,265.29,12975
2024-10-17,277.12,278.74,272.26,276.79,8790
2024-10-18,274.97,278.74,272.28,274.42,6724
2024-10-21,269.56,274.5,269.56,272.56,6475
2024-10-22,273.61,273.61,271.29,272.77,18110
2024-10-23,277.67,289.83,275.51,279.7,23011
2024-10-24,267.82,268.18,267.22,267.72,6264
2024-10-25,276.71,276.71,271.54,274.52,16679
2024-10-28,274.27,278.8,274.27,275.81,16014
2024-10-29,278.08,278.55,273.2,276.46,8433
2024-10-30,280.19,280.99,280.19,280.84,17017
2024-10-31,277.25,280.33,277.25,279.01,18569
2024-11-01,278.76,280.46,278.76,279.99,8231
2024-11-04,286.87,286.91,281.26,283.98,10252
2024-11-05,282.42,286.97,278.01,281.97,14338
2024-11-06,281.21,283.08,279.64,281.21,17416
2024-11-07,286.93,291.85,281.98,287.2,13914
2024-11-08,292.14,295.52,287.2,291.57,38036
2024-11-11,285.95,286.14,285.47,285.93,18846
2024-11-12,287.16,288.96,287.16,287.84,27544
2024-11-13,287.77,287.77,286.37,286.56,26953
2024-11-14,289.65,289.65,286.45,287.66,14004
2024-11-15,286.97,287.95,285.03,285.87,19987
2024-11-18,281.38,283.38,279.79,281.24,8109
2024-11-19,285.31,295.72,281.22,287.92,9312
2024-11-20,293.25,293.25,288.61,290.55,5732
2024-11-21,292.1,293.54,291.24,292.35,3095
2024-11-22,292.58,292.58,291.24,291.58,8942
2024-11-25,281.9,283.41,280.91,281.96,11195
2024-11-26,278.32,281.65,278.11,279.92,8083
2024-11-27,282.35,285.01,280.77,282.02,9384
2024-11-28,283.08,286.91,282.22,284.11,11129
2024-11-29,279.76,283.07,278.36,279.69,4558
2024-12-02,274.88,278.57,274.82,276.29,10309
2024-12-03,283.72,288.99,275.56,283.76,11999
2024-12-04,286.05,286.05,282.6,284.65,9350
2024-12-05,279.39,281.99,278.53,280.02,20183
2024-12-06,279.07,285.97,275.79,279.59,25548
2024-12-09,278.22,278.22,275.79,276.75,19683
2024-12-10,272.42,277.24,270.3,273.35,8192
2024-12-11,278.04,278.85,278.04,278.58,17336
2024-12-12,258.71,264.57,256.42,259.67,47531
2024-12-13,253.61,259.37,249.14,253.21,8371
2024-12-16,249.84,253.33,249.69,251.11,14764
2024-12-17,252.44,252.44,249.1,249.93,12061
2024-12-18,247.26,248.41,247.26,247.98,30701
2024-12-19,240.25,243.6,237.85,241.14,5424
2024-12-20,242.97,246.97,242.97,244.24,10604
2024-12-23,248.28,251.13,248.05,248.94,20422
2024-12-24,249.24,249.24,247.04,247.59,23656
2024-12-25,241.83,242.69,238.06,240.62,5934
2024-12-26,241.6,241.6,239.77,240.07,29763
2024-12-27,249.08,251.4,246.37,248.48,6081
2024-12-30,250.33,251.26,250.33,251.22,19336
2024-12-31,252.7,254.49,245.39,251.25,17028
2025-01-01,251.83,251.96,250.81,251.38,13293
2025-01-02,246.64,249.17,243.71,247.66,14760
2025-01-03,246.97,246.99,246.81,246.89,15739
2025-01-06,250.5,251.98,248.95,250.5,20743
2025-01-07,256.45,256.45,254.98,255.08,12842
2025-01-08,254.04,256.48,254.04,255.43,11362
2025-01-09,249.08,249.32,246.58,248.13,15090
2025-01-10,241.8,245.48,237.37,242.14,43248
2025-01-13,233.54,233.54,233.46,233.46,6539
2025-01-14,230.92,233.61,229.27,230.73,15190
2025-01-15,227.16,230.26,226.59,227.94,7409
2025-01-16,230.27,231.56,228.2,230.16,11938
2025-01-17,235.07,237.15,231.34,234.12,42611
2025-01-20,234.87,239.41,231.23,234.04,26296
2025-01-21,233.92,236.23,229.14,232.57,9478
2025-01-22,230.52,231.38,230.21,230.68,5502
2025-01-23,226.99,226.99,225.32,225.73,13207
2025-01-24,223.35,225.87,221.77,223.31,20495
2025-01-27,221.11,222.71,221.11,222.27,11359
2025-01-28,227.79,230.84,223.42,228.0,10826
2025-01-29,228.61,230.47,223.9,227.42,8543
2025-01-30,223.14,223.89,222.42,223.08,17651
2025-01-31,215.77,218.77,212.42,216.22,18043
2025-02-03,210.75,211.2,209.95,210.52,7273
2025-02-04,206.86,209.62,204.49,207.42,8874
2025-02-05,206.68,207.17,206.68,207.16,15782
2025-02-06,210.72,212.5,208.85,210.81,10085
2025-02-07,219.54,219.54,219.09,219.17,6906
2025-02-10,214.26,215.52,210.7,213.6,11156
2025-02-11,207.7,212.88,207.03,209.05,9148
2025-02-12,207.11,209.0,204.32,207.01,35272
2025-02-13,202.53,204.93,202.4,203.94,9534
2025-02-14,204.86,206.42,202.95,204.52,7802
2025-02-17,205.52,211.61,201.53,204.54,26545
2025-02-18,205.03,205.31,205.03,205.27,21028
2025-02-19,207.78,209.43,207.63,208.52,16484
2025-02-20,215.58,219.04,215.58,217.2,25318
2025-02-21,213.5,214.72,213.41,213.82,12167
2025-02-24,213.94,214.99,213.94,214.88,9934
2025-02-25,208.45,208.45,207.55,207.79,28565
2025-02-26,216.41,218.5,215.53,216.43,35468
2025-02-27,218.35,220.32,213.61,216.13,17289
2025-02-28,219.42,219.42,218.64,219.01,11209
2025-03-03,221.87,223.98,219.54,221.31,12154
2025-03-04,226.97,229.78,225.42,227.04,18716
2025-03-05,228.52,228.99,228.09,228.47,17331
2025-03-06,226.09,226.52,226.09,226.31,3870
2025-03-07,218.81,220.9,216.97,218.93,15288
2025-03-10,217.55,218.99,217.55,218.41,15460
2025-03-11,223.94,223.94,221.71,222.52,25137
2025-03-12,221.8,221.9,221.47,221.66,13315
2025-03-13,221.18,221.25,218.65,219.54,18238
2025-03-14,219.86,222.92,218.2,220.31,9656
2025-03-17,226.06,229.39,220.31,224.94,8945
2025-03-18,227.99,232.01,225.37,227.27,15821
2025-03-19,228.33,228.99,228.33,228.77,7893
2025-03-20,229.49,231.94,227.12,228.91,20929
2025-03-21,229.63,234.17,228.95,230.3,17100
2025-03-24,232.95,232.95,232.49,232.62,26897
2025-03-25,228.59,229.81,228.59,229.44,26731
2025-03-26,228.77,228.98,228.36,228.7,11071
2025-03-27,223.47,225.97,223.47,225.0,14481
2025-03-28,229.11,229.11,228.3,228.39,17633
2025-03-31,231.3,234.51,229.6,231.47,10650
2025-04-01,235.45,239.84,229.96,234.53,18343
