timestamps,open,high,low,close,volume
2024-09-23,214.75,214.75,213.73,213.78,31266
2024-09-24,220.57,226.24,217.8,221.53,7263
2024-09-25,220.5,220.5,217.69,218.49,7579
2024-09-26,218.65,218.65,217.5,218.24,16930
2024-09-27,220.78,222.21,220.12,221.13,15383
2024-09-30,225.46,226.42,222.92,224.49,6877
2024-10-01,227.72,227.72,226.61,226.88,13341
2024-10-02,225.63,227.2,225.01,226.49,25287
2024-10-03,231.12,231.12,230.65,230.67,14980
2024-10-04,236.0,237.35,234.01,236.02,15528
2024-10-07,238.06,238.31,237.5,238.0,21367
2024-10-08,242.76,242.76,240.89,240.91,6276
2024-10-09,237.03,237.03,236.13,236.33,13465
2024-10-10,235.1,236.83,235.1,236.19,14073
2024-10-11,238.04,239.96,238.04,239.06,21173
2024-10-14,240.49,241.86,236.26,239.8,18199
2024-10-15,236.35,237.59,236.35,237.48,10886
2024-10-16,235.03,238.48,235.03,237.78,15936
2024-10-17,244.0,245.89,242.37,243.91,23459
2024-10-18,247.78,247.78,247.02,247.32,18562
2024-10-21,251.61,255.63,247.2,251.2,15439
2024-10-22,253.38,253.38,252.95,253.17,10524
2024-10-23,252.91,254.27,248.24,251.94,14849
2024-10-24,241.11,243.62,241.11,242.91,11618
2024-10-25,250.05,250.05,249.49,249.75,15233
2024-10-28,248.69,251.45,246.87,249.45,22501
2024-10-29,249.48,250.42,248.31,249.33,16371
2024-10-30,246.82,248.87,243.85,247.44,14283
2024-10-31,240.85,245.21,238.61,241.17,9387
2024-11-01,232.58,233.44,230.65,232.39,12493
2024-11-04,230.28,233.26,229.81,231.6,9375
2024-11-05,240.6,241.03,240.18,240.57,27716
2024-11-06,246.42,249.6,241.86,244.89,26442
2024-11-07,248.77,249.56,244.17,247.49,10485
2024-11-08,249.79,252.99,249.79,251.56,15415
2024-11-11,254.72,256.56,252.9,254.75,25937
2024-11-12,244.64,247.35,244.44,245.7,22767
2024-11-13,244.88,245.29,243.79,244.49,10697
2024-11-14,240.87,243.02,240.87,242.19,10803
2024-11-15,247.88,249.16,247.16,248.17,16475
2024-11-18,244.72,246.8,242.57,245.03,15519
2024-11-19,256.19,256.19,254.9,255.14,12065
2024-11-20,257.45,258.27,255.21,256.77,14954
2024-11-21,255.79,258.57,253.0,255.0,18460
2024-11-22,255.36,257.55,254.33,255.95,16264
2024-11-25,257.89,257.89,257.19,257.5,24640
2024-11-26,260.91,260.91,258.54,259.42,7281
2024-11-27,259.83,260.17,256.83,258.37,14180
2024-11-28,257.69,262.2,255.82,258.8,14846
2024-11-29,263.23,266.53,263.23,265.14,24037
2024-12-02,269.43,269.43,267.38,267.81,17021
2024-12-03,271.59,273.76,268.35,270.0,7341
2024-12-04,270.0,272.22,266.55,268.44,22074
2024-12-05,272.63,276.52,272.63,273.85,7928
2024-12-06,270.45,273.43,270.45,271.63,33234
2024-12-09,266.35,268.96,264.4,266.79,20349
2024-12-10,269.0,270.7,266.42,268.17,10109
2024-12-11,263.82,267.52,263.08,264.45,8071
2024-12-12,267.95,274.22,263.96,268.89,17390
2024-12-13,272.49,276.45,264.08,272.96,9117
2024-12-16,275.34,277.49,269.84,273.98,9570
2024-12-17,276.7,276.7,275.31,275.49,12794
2024-12-18,276.75,276.75,275.02,275.45,15639
2024-12-19,278.95,279.49,275.11,277.88,29724
2024-12-20,275.65,280.59,272.1,276.35,17507
2024-12-23,280.36,282.04,279.04,280.32,11078
2024-12-24,273.75,276.98,267.51,273.15,16102
2024-12-25,273.61,273.61,271.87,272.73,25411
2024-12-26,270.67,271.3,269.14,269.99,18373
2024-12-27,269.69,272.46,269.69,272.03,24714
2024-12-30,278.3,278.5,276.69,277.66,25848
2024-12-31,279.42,286.11,275.42,279.86,28547
2025-01-01,284.58,284.87,284.58,284.81,12380
2025-01-02,284.18,287.97,280.69,283.93,35059
2025-01-03,287.43,295.64,283.38,289.14,11852
2025-01-06,280.9,281.92,280.13,281.05,7062
2025-01-07,288.8,288.8,284.54,286.03,34175
2025-01-08,280.65,284.7,279.12,280.49,33606
2025-01-09,277.34,283.2,276.0,280.67,11021
2025-01-10,279.96,279.96,277.88,278.65,19255
2025-01-13,278.25,285.49,276.05,280.78,13443
2025-01-14,281.0,281.0,275.95,277.0,32511
2025-01-15,274.84,274.84,272.97,273.43,7006
2025-01-16,275.15,279.35,272.55,274.5,13262
2025-01-17,271.77,272.92,271.77,272.73,12333
2025-01-20,277.59,279.28,277.59,278.42,26564
2025-01-21,276.56,280.9,276.16,277.58,11392
2025-01-22,276.19,277.44,274.22,276.1,10443
2025-01-23,268.58,270.35,261.51,267.04,14635
2025-01-24,267.84,268.64,267.84,268.58,11241
2025-01-27,275.83,275.83,272.45,273.56,24456
2025-01-28,275.8,281.87,271.11,274.04,29119
2025-01-29,266.24,270.05,260.31,266.34,20562
2025-01-30,270.93,273.13,263.24,270.35,9530
2025-01-31,263.19,265.05,263.02,264.38,15539
2025-02-03,269.92,274.15,264.73,269.48,9028
2025-02-04,271.98,273.68,271.18,272.86,11807
2025-02-05,273.69,274.85,272.49,273.33,21966
2025-02-06,267.58,267.61,263.84,265.33,31139
2025-02-07,262.66,265.77,260.36,263.62,13665
2025-02-10,263.75,263.75,261.48,262.36,12028
2025-02-11,261.44,261.44,257.95,259.88,11052
2025-02-12,266.91,266.91,264.23,264.99,26499
2025-02-13,261.38,263.26,261.38,262.94,13020
2025-02-14,262.41,267.02,259.1,263.37,14307
2025-02-17,259.05,261.85,259.05,260.28,33740
2025-02-18,261.84,266.46,260.54,263.0,15809
2025-02-19,258.64,258.64,257.34,257.9,14009
2025-02-20,265.62,265.62,263.68,264.86,11414
2025-02-21,257.65,263.0,256.88,259.09,10815
2025-02-24,254.48,256.36,253.75,254.92,22206
2025-02-25,254.0,255.0,254.0,254.67,33125
2025-02-26,252.1,256.07,248.35,253.34,24411
2025-02-27,265.78,266.24,264.32,265.45,23382
2025-02-28,266.92,271.01,266.43,268.0,10658
2025-03-03,269.01,270.88,269.01,270.8,8500
2025-03-04,273.33,276.35,273.16,274.58,8355
2025-03-05,262.97,268.1,262.97,264.66,7273
2025-03-06,260.37,260.37,259.47,259.69,23468
2025-03-07,258.27,260.32,258.27,259.34,16775
2025-03-10,257.94,258.5,257.09,257.45,29199
2025-03-11,257.63,263.34,252.05,256.48,15951
2025-03-12,254.82,258.86,254.82,258.17,14452
2025-03-13,249.44,250.86,243.96,248.56,25893
2025-03-14,246.87,247.97,244.15,246.21,14862
2025-03-17,251.55,255.61,250.05,251.53,8861
2025-03-18,257.03,262.76,254.99,259.05,32921
2025-03-19,257.39,259.85,254.14,257.05,14768
2025-03-20,244.55,247.27,236.16,243.96,25539
2025-03-21,246.78,247.61,244.54,245.87,25603
2025-03-24,239.04,239.04,235.05,237.31,11052
2025-03-25,227.82,230.37,227.04,228.68,12233
2025-03-26,228.05,233.52,225.24,228.53,11638
2025-03-27,228.55,231.48,227.78,229.18,33989
2025-03-28,227.65,229.02,225.48,226.82,32318
2025-03-31,226.21,227.68,224.49,225.89,15573
2025-04-01,232.56,232.56,231.28,231.5,14836
2025-04-02,233.81,233.81,232.09,232.81,23894
2025-04-03,232.44,235.82,227.07,231.43,20409
2025-04-04,232.04,235.76,226.64,231.02,12793
2025-04-07,228.43,229.61,227.22,228.46,20400
2025-04-08,219.34,225.46,218.2,220.53,16316
2025-04-09,215.2,216.9,214.11,215.37,16555
2025-04-10,217.25,220.09,211.02,216.34,28998
2025-04-11,216.91,217.89,213.7,215.83,7248
2025-04-14,221.7,222.16,221.36,221.75,31288
2025-04-15,214.44,217.73,210.58,214.89,16304
