timestamps,open,high,low,close,volume
2024-09-23,341.96,347.98,341.45,344.61,24047
2024-09-24,335.57,337.78,331.69,334.89,11721
2024-09-25,338.45,341.49,337.98,340.13,26132
2024-09-26,335.74,339.73,335.74,337.33,14506
2024-09-27,331.49,335.44,329.33,331.74,10161
2024-09-30,328.74,328.74,326.77,327.29,40873
2024-10-01,339.99,343.91,327.9,338.47,24724
2024-10-02,339.97,341.39,338.4,339.97,21363
2024-10-03,350.89,354.61,347.35,351.39,44203
2024-10-04,349.18,352.73,342.79,348.17,15962
2024-10-07,352.27,356.52,349.39,352.27,29963
2024-10-08,356.54,356.54,355.58,356.11,9292
2024-10-09,351.72,351.72,346.38,347.99,19447
2024-10-10,346.74,348.94,341.56,344.52,29566
2024-10-11,335.6,337.65,334.5,336.23,15411
2024-10-14,329.39,332.05,329.32,331.07,16164
2024-10-15,321.57,323.16,321.57,322.87,18795
2024-10-16,327.56,334.84,326.04,328.51,35104
2024-10-17,330.21,335.32,329.06,331.27,19396
2024-10-18,336.94,339.1,336.94,338.93,9503
2024-10-21,334.9,336.29,331.0,333.02,12965
2024-10-22,335.11,338.03,335.11,337.85,49898
2024-10-23,338.32,342.3,337.14,339.81,30096
2024-10-24,335.07,338.07,331.88,335.52,9783
2024-10-25,340.02,342.26,334.86,340.44,15054
2024-10-28,356.38,356.38,351.65,353.22,27953
2024-10-29,354.5,362.36,344.93,354.18,9137
2024-10-30,368.46,369.32,364.12,365.87,41404
2024-10-31,374.75,375.82,372.08,374.3,15793
2024-11-01,371.43,375.13,371.43,374.11,27711
2024-11-04,373.27,380.56,364.67,370.63,16863
2024-11-05,369.84,370.66,369.72,370.12,44793
2024-11-06,355.39,356.63,355.39,356.28,28849
2024-11-07,355.16,357.12,352.81,355.44,21111
2024-11-08,350.2,352.61,350.2,351.73,33690
2024-11-11,358.67,367.02,352.93,359.93,20381
2024-11-12,358.04,358.04,355.48,356.86,48317
2024-11-13,365.25,370.29,363.4,366.27,11809
