timestamps,open,high,low,close,volume
2024-09-23,493.13,501.07,485.82,491.06,8960
2024-09-24,504.84,504.84,495.21,500.32,11791
2024-09-25,498.34,498.34,488.79,492.82,24156
2024-09-26,469.08,472.05,469.08,470.46,7039
2024-09-27,474.17,475.02,469.14,472.58,35243
2024-09-30,480.91,483.84,468.81,477.0,11862
2024-10-01,475.08,483.64,464.09,473.88,39802
2024-10-02,488.75,492.62,485.13,487.09,21318
2024-10-03,484.83,487.36,484.83,486.01,13383
2024-10-04,493.39,501.06,487.95,494.32,16099
2024-10-07,486.27,488.56,486.27,487.61,7713
2024-10-08,501.89,504.9,495.16,502.18,22790
2024-10-09,516.82,516.82,509.0,511.24,32625
2024-10-10,510.41,515.12,506.78,512.72,22571
2024-10-11,510.69,517.37,502.15,512.07,13125
2024-10-14,498.42,498.42,494.58,495.44,11699
2024-10-15,497.44,497.44,488.96,491.76,14053
2024-10-16,511.39,522.7,499.41,511.01,27787
2024-10-17,505.69,512.73,499.51,505.42,15154
2024-10-18,513.76,517.27,510.43,514.04,24919
2024-10-21,514.79,514.97,514.66,514.79,20666
2024-10-22,498.09,508.93,487.61,495.12,21869
2024-10-23,490.4,492.29,490.4,492.22,16591
2024-10-24,495.14,497.18,489.11,493.26,42097
2024-10-25,498.45,500.89,483.3,492.99,21528
2024-10-28,484.61,485.34,482.05,483.44,23249
2024-10-29,475.34,478.05,472.61,475.38,24830
2024-10-30,468.46,474.51,462.87,467.29,28523
2024-10-31,464.14,474.57,459.14,466.85,14373
2024-11-01,470.73,477.19,470.44,473.61,21688
2024-11-04,466.87,469.35,462.79,466.02,15457
2024-11-05,455.06,464.54,451.86,457.99,14558
2024-11-06,451.51,455.96,447.12,452.5,37577
2024-11-07,437.96,441.03,432.93,437.85,12783
2024-11-08,439.74,439.74,436.79,437.44,17002
2024-11-11,432.73,437.57,431.24,434.88,33643
2024-11-12,441.24,449.25,431.13,440.43,11904
2024-11-13,446.94,451.68,444.79,446.87,24323
2024-11-14,439.92,445.79,427.63,438.56,14306
2024-11-15,438.7,438.7,431.85,434.34,8220
2024-11-18,426.56,431.55,425.6,429.66,19628
2024-11-19,421.22,422.28,419.63,420.71,28789
2024-11-20,436.18,438.09,432.02,435.67,12406
2024-11-21,444.64,451.73,433.91,446.7,9641
2024-11-22,446.71,450.07,442.27,445.51,18135
2024-11-25,448.24,456.46,439.94,446.62,33213
2024-11-26,456.2,456.2,451.95,452.79,39834
2024-11-27,451.74,458.51,451.72,455.39,8567
2024-11-28,449.48,453.79,449.48,452.7,21880
2024-11-29,446.42,450.35,443.43,445.83,21308
2024-12-02,450.27,454.33,445.04,449.2,31389
2024-12-03,454.05,454.05,451.28,452.35,44696
2024-12-04,448.26,455.06,447.31,451.19,41942
2024-12-05,445.24,446.48,444.69,445.75,24349
2024-12-06,454.85,457.31,454.85,456.83,23848
2024-12-09,449.16,453.81,445.43,449.21,18526
2024-12-10,450.4,458.11,440.78,449.79,31949
2024-12-11,446.51,449.99,444.8,447.32,35704
2024-12-12,446.39,446.52,445.88,446.22,32316
2024-12-13,439.66,442.17,438.67,440.95,7593
2024-12-16,458.38,464.21,457.37,461.02,12313
2024-12-17,478.62,478.62,476.28,477.31,32893
2024-12-18,472.14,472.14,470.19,470.41,12818
2024-12-19,465.45,466.21,465.37,465.83,12837
2024-12-20,459.87,461.66,456.96,459.8,13609
2024-12-23,451.03,454.68,450.03,452.11,37003
2024-12-24,459.91,471.07,456.02,461.59,13286
2024-12-25,471.97,471.97,467.24,469.27,35903
2024-12-26,465.57,468.38,456.5,464.27,11630
2024-12-27,477.55,480.21,461.12,472.38,22842
2024-12-30,475.43,477.12,470.06,473.71,11133
2024-12-31,474.33,481.12,461.86,470.17,9890
2025-01-01,464.14,466.82,463.52,465.09,7448
2025-01-02,470.32,472.38,469.99,471.05,21803
2025-01-03,476.91,484.45,471.83,477.46,14230
2025-01-06,479.07,488.88,475.43,480.41,14361
2025-01-07,485.78,485.78,479.05,481.67,16151
2025-01-08,471.87,476.68,468.25,472.13,21825
2025-01-09,460.23,470.63,460.23,465.1,20068
2025-01-10,473.27,478.86,464.88,472.07,43773
2025-01-13,473.04,473.04,470.42,470.6,14601
2025-01-14,460.66,460.66,455.87,456.26,32314
2025-01-15,456.73,463.68,445.7,457.13,12536
2025-01-16,448.04,448.67,445.61,447.33,7779
2025-01-17,440.87,445.65,434.53,441.1,9927
2025-01-20,449.46,454.91,442.52,446.49,11576
2025-01-21,446.36,449.74,445.63,447.18,10878
2025-01-22,460.56,464.96,450.36,460.46,30553
2025-01-23,470.23,472.22,470.23,472.1,22920
2025-01-24,469.03,475.37,465.25,469.85,14827
2025-01-27,453.73,462.34,448.0,456.33,29025
2025-01-28,439.47,439.47,435.05,437.85,15733
2025-01-29,445.71,450.34,444.7,447.93,23080
2025-01-30,460.52,462.42,460.14,461.31,61311
2025-01-31,458.42,463.23,458.42,462.82,19176
2025-02-03,443.23,451.59,439.54,445.81,36657
2025-02-04,447.88,452.75,441.56,447.61,31780
2025-02-05,438.41,441.68,438.41,440.69,11308
2025-02-06,455.13,455.69,455.06,455.46,24958
2025-02-07,465.35,471.14,451.81,464.53,35391
2025-02-10,456.64,456.64,454.51,455.47,17706
2025-02-11,452.12,471.86,446.95,457.58,12533
2025-02-12,447.49,447.49,444.5,445.09,31309
2025-02-13,425.04,431.7,421.03,427.69,18903
2025-02-14,420.9,428.14,416.08,423.44,14904
2025-02-17,438.99,439.93,436.18,438.1,21960
2025-02-18,442.24,448.92,439.48,444.01,33876
2025-02-19,451.88,456.9,446.83,451.24,15463
2025-02-20,451.43,455.18,451.43,454.63,18711
2025-02-21,451.6,457.86,446.14,452.12,18246
2025-02-24,461.98,461.98,457.22,458.02,23765
2025-02-25,477.23,477.23,474.3,475.3,13782
2025-02-26,472.61,477.06,470.01,473.13,30460
2025-02-27,476.11,484.5,471.55,475.4,11082
2025-02-28,474.78,483.32,465.41,473.98,14586
2025-03-03,463.42,464.87,458.99,461.67,35163
2025-03-04,452.63,458.24,448.55,451.12,20250
2025-03-05,445.29,445.29,440.2,441.79,49181
2025-03-06,447.48,450.19,442.95,446.91,16877
2025-03-07,458.39,459.27,454.23,457.12,13341
2025-03-10,451.1,453.94,448.93,451.07,21153
2025-03-11,451.64,457.31,445.63,450.3,36686
2025-03-12,447.5,452.04,441.49,447.56,7973
2025-03-13,452.92,453.4,446.19,449.84,21342
2025-03-14,455.47,461.44,454.25,457.06,10944
