timestamps,open,high,low,close,volume
2024-09-23,505.61,508.3,504.22,506.0,22726
2024-09-24,524.66,525.19,518.02,521.9,16899
2024-09-25,531.13,531.13,525.48,528.12,20870
2024-09-26,530.37,532.92,530.37,532.69,9440
2024-09-27,523.46,528.87,521.65,523.65,13011
2024-09-30,519.25,519.88,506.9,514.37,24735
2024-10-01,489.37,496.59,479.64,492.56,26952
2024-10-02,492.32,498.45,492.32,495.76,11021
2024-10-03,494.2,494.2,489.46,491.02,20838
2024-10-04,490.18,490.28,488.52,489.14,16044
2024-10-07,493.01,495.42,487.64,491.29,27769
2024-10-08,492.69,492.69,478.77,487.68,18183
2024-10-09,500.96,507.17,498.01,501.97,15328
2024-10-10,497.19,511.71,490.51,499.64,16861
2024-10-11,498.52,500.24,490.23,495.04,15446
2024-10-14,479.46,486.04,473.7,480.66,25423
2024-10-15,485.49,485.49,482.46,483.29,20896
2024-10-16,485.86,491.63,485.86,491.18,33601
2024-10-17,485.17,485.17,480.57,482.31,25656
2024-10-18,479.07,486.14,478.95,482.27,24149
2024-10-21,505.08,505.67,500.34,501.88,16176
2024-10-22,507.15,512.98,502.66,506.76,25802
2024-10-23,514.84,521.38,510.54,515.08,24628
2024-10-24,531.71,532.33,531.08,531.57,13128
2024-10-25,542.48,554.47,538.4,544.65,15015
2024-10-28,542.25,547.53,538.11,543.39,28726
2024-10-29,537.35,542.27,529.02,537.86,21059
2024-10-30,537.66,538.66,529.5,533.91,65014
2024-10-31,527.83,527.85,526.72,527.33,14509
2024-11-01,524.54,524.54,522.35,522.9,7935
2024-11-04,542.67,545.72,539.47,542.64,8391
2024-11-05,539.5,542.3,539.5,542.05,10749
2024-11-06,534.21,534.21,525.86,529.39,27052
2024-11-07,539.87,543.64,530.58,535.52,35711
2024-11-08,547.88,558.62,545.91,552.33,16880
2024-11-11,540.06,540.06,539.03,539.2,10285
2024-11-12,533.54,536.01,533.54,535.46,21178
2024-11-13,549.28,565.26,545.14,554.22,18073
2024-11-14,551.18,553.57,545.35,550.39,21654
2024-11-15,535.61,535.61,532.55,533.15,52536
