timestamps,open,high,low,close,volume
2024-09-23,360.7,362.61,354.45,357.37,16070
2024-09-24,370.39,370.39,364.5,368.01,7531
2024-09-25,365.68,368.87,356.17,363.22,20043
2024-09-26,363.94,366.61,363.94,366.52,14084
2024-09-27,370.18,370.18,366.78,366.86,18789
2024-09-30,371.39,371.39,367.96,369.88,23715
2024-10-01,368.32,373.65,366.07,371.51,24326
2024-10-02,368.6,369.27,368.38,368.7,33825
2024-10-03,376.75,379.75,376.75,379.21,12996
2024-10-04,382.56,382.83,382.23,382.63,24128
2024-10-07,384.27,391.23,384.27,388.06,6070
2024-10-08,372.83,377.81,372.83,376.31,11703
2024-10-09,378.5,378.5,377.36,377.56,8423
2024-10-10,372.06,374.06,371.47,372.54,31599
2024-10-11,371.41,371.56,366.07,369.8,9628
2024-10-14,370.33,372.74,366.59,370.09,28525
2024-10-15,355.8,365.99,347.3,355.02,7658
2024-10-16,362.34,367.88,357.12,363.1,11612
2024-10-17,362.08,365.65,360.99,362.89,28792
2024-10-18,369.28,374.08,369.28,372.05,20268
2024-10-21,370.82,372.82,370.63,371.74,23993
2024-10-22,370.55,377.7,369.38,374.02,21716
2024-10-23,374.88,378.67,374.85,376.01,16734
2024-10-24,375.22,375.73,374.92,375.27,7383
2024-10-25,364.12,374.84,360.09,364.99,16660
2024-10-28,370.89,373.99,362.19,369.05,15128
2024-10-29,365.19,365.5,361.23,362.96,9098
2024-10-30,354.4,354.4,349.98,350.5,18285
2024-10-31,356.92,365.42,356.78,358.81,26239
2024-11-01,362.0,365.55,353.6,360.63,12020
2024-11-04,360.36,365.74,360.36,364.06,50645
2024-11-05,369.48,371.45,369.48,371.07,22639
2024-11-06,380.65,380.9,378.98,380.1,25406
2024-11-07,378.85,383.56,372.75,378.29,13360
2024-11-08,393.83,398.76,391.71,394.46,15936
2024-11-11,394.4,394.4,384.53,387.88,32787
2024-11-12,390.66,392.39,390.66,392.18,12295
2024-11-13,384.67,390.52,380.62,385.83,6413
2024-11-14,381.83,385.05,378.12,381.91,22417
2024-11-15,387.53,391.97,387.53,391.3,16759
2024-11-18,402.47,412.46,401.36,404.8,31613
2024-11-19,418.76,420.07,411.69,415.6,20211
2024-11-20,423.79,426.03,420.59,422.79,14988
2024-11-21,412.29,417.59,409.18,412.91,11593
2024-11-22,412.16,418.49,406.93,411.68,43197
2024-11-25,406.09,409.64,400.39,405.29,13292
2024-11-26,405.64,406.39,402.23,403.9,8278
2024-11-27,402.42,407.76,401.94,406.14,25457
2024-11-28,407.14,415.29,404.67,409.78,13543
2024-11-29,408.41,412.48,399.21,404.18,22448
2024-12-02,401.1,403.38,399.3,401.1,9447
