timestamps,open,high,low,close,volume
2024-09-23,218.73,221.06,214.58,217.95,11174
2024-09-24,221.78,225.15,220.71,222.83,17731
2024-09-25,222.06,222.22,221.47,221.91,16731
2024-09-26,217.32,220.3,217.32,218.79,44615
2024-09-27,213.27,213.29,210.79,212.31,14319
2024-09-30,219.05,221.42,219.05,220.51,11124
2024-10-01,220.24,220.46,218.53,219.2,15246
2024-10-02,221.67,224.81,218.77,221.44,9244
2024-10-03,223.97,224.97,223.25,224.07,12559
2024-10-04,236.93,237.92,234.12,235.36,14726
2024-10-07,235.11,242.92,234.24,237.18,13567
2024-10-08,233.86,234.74,232.21,233.55,17031
2024-10-09,233.48,237.94,229.7,233.04,11453
2024-10-10,240.66,240.66,239.38,239.86,13866
2024-10-11,238.88,238.88,237.18,237.77,18629
2024-10-14,234.61,236.68,232.07,234.43,50061
2024-10-15,226.27,230.11,224.18,227.31,34700
2024-10-16,227.65,227.65,225.76,225.93,13888
2024-10-17,224.88,226.27,223.79,224.66,45060
2024-10-18,222.68,224.87,219.21,222.4,13793
2024-10-21,216.78,224.76,214.47,217.16,8427
2024-10-22,214.8,216.27,214.63,215.38,23043
2024-10-23,218.17,222.05,213.93,217.78,12529
2024-10-24,218.01,219.15,214.25,216.62,25096
2024-10-25,221.48,222.07,221.48,221.94,17461
2024-10-28,225.33,227.6,224.57,226.62,15405
2024-10-29,222.6,222.6,220.73,221.48,4093
2024-10-30,218.88,219.05,217.27,218.25,15614
2024-10-31,221.79,222.96,221.04,221.9,8944
2024-11-01,213.28,215.78,211.03,212.39,11550
2024-11-04,213.92,214.48,212.85,213.61,8449
2024-11-05,211.28,212.71,209.49,210.65,9858
2024-11-06,213.74,215.74,211.48,213.14,19551
2024-11-07,210.23,214.11,209.07,210.56,21924
2024-11-08,206.81,208.49,206.81,207.84,24179
2024-11-11,206.95,208.45,206.95,207.94,30726
2024-11-12,211.3,211.3,209.76,210.06,10376
2024-11-13,216.47,216.99,216.07,216.54,15225
2024-11-14,222.63,226.77,218.63,222.76,13000
2024-11-15,220.95,222.85,220.95,222.48,15607
2024-11-18,226.97,233.58,219.3,225.74,10459
2024-11-19,232.62,234.81,230.6,232.03,9904
2024-11-20,228.68,231.81,227.65,229.98,17899
2024-11-21,227.86,228.26,226.52,227.52,20156
2024-11-22,222.82,224.9,222.1,223.13,18669
2024-11-25,224.62,224.62,222.07,222.61,15306
2024-11-26,228.38,228.38,221.79,224.75,13332
2024-11-27,225.29,225.65,223.38,225.02,33774
2024-11-28,225.01,225.2,224.43,224.7,25185
2024-11-29,232.62,235.33,227.71,232.05,17663
2024-12-02,229.18,230.34,229.05,229.87,21522
2024-12-03,233.71,233.71,231.92,232.09,11800
2024-12-04,223.91,226.74,223.91,226.68,14050
2024-12-05,225.46,228.15,223.88,225.67,18387
2024-12-06,226.53,226.69,226.05,226.52,15096
2024-12-09,225.88,225.88,223.16,224.51,11468
2024-12-10,219.21,220.22,217.77,218.85,11233
2024-12-11,209.96,213.16,209.96,212.22,7868
