timestamps,open,high,low,close,volume
2024-09-23,234.68,234.92,234.57,234.72,16817
2024-09-24,240.66,241.08,240.66,240.95,63777
2024-09-25,237.77,240.1,237.45,238.36,27705
2024-09-26,241.24,250.43,239.32,242.94,13220
2024-09-27,246.75,246.75,244.87,244.92,18491
2024-09-30,247.95,249.87,245.6,247.99,28559
2024-10-01,253.7,253.7,250.82,252.27,14565
2024-10-02,246.47,253.51,245.12,249.03,27036
2024-10-03,254.37,259.54,254.37,257.05,19247
2024-10-04,257.86,258.19,257.86,258.08,14160
2024-10-07,252.38,252.38,250.59,250.91,35493
2024-10-08,239.15,241.31,237.46,238.61,38395
2024-10-09,234.7,235.87,231.28,233.2,9550
2024-10-10,236.14,236.14,235.4,235.66,15981
2024-10-11,237.09,239.88,235.83,237.31,13172
2024-10-14,235.82,239.87,232.77,236.82,15688
2024-10-15,234.99,238.92,232.22,234.9,15186
2024-10-16,232.71,237.98,232.14,234.93,48806
2024-10-17,234.51,238.57,232.35,234.63,11957
2024-10-18,230.59,234.14,229.63,231.9,25339
2024-10-21,232.72,232.99,229.77,231.92,19770
2024-10-22,234.15,234.15,232.23,232.81,31286
2024-10-23,230.5,232.47,229.67,231.12,22688
2024-10-24,230.39,232.17,229.54,230.92,41837
2024-10-25,224.57,224.57,222.79,223.8,51404
2024-10-28,220.36,220.53,219.27,220.09,11593
2024-10-29,221.47,222.72,220.64,221.7,14701
2024-10-30,216.58,219.35,213.66,217.26,24217
2024-10-31,219.43,222.14,212.97,217.54,12511
2024-11-01,218.06,219.95,215.79,217.79,4224
2024-11-04,220.91,221.72,219.63,220.94,15017
2024-11-05,227.96,232.22,223.55,229.08,13030
2024-11-06,221.72,222.51,220.45,221.69,9770
2024-11-07,220.98,222.66,220.91,221.53,16664
2024-11-08,225.17,230.52,223.14,225.77,20485
2024-11-11,225.68,230.19,224.83,227.55,13473
2024-11-12,224.65,225.97,223.07,224.24,17067
2024-11-13,219.46,219.46,218.91,219.27,7751
2024-11-14,220.97,220.97,218.94,219.1,18773
2024-11-15,217.54,217.54,212.39,215.1,12771
2024-11-18,222.49,224.52,220.71,222.82,15253
2024-11-19,229.33,231.5,227.48,229.42,18458
