timestamps,open,high,low,close,volume
2024-09-23,171.75,176.11,171.04,172.88,14626
2024-09-24,172.99,174.13,172.99,173.94,33674
2024-09-25,178.52,180.22,177.78,178.72,44719
2024-09-26,178.92,184.28,177.21,179.16,23914
2024-09-27,178.6,182.99,172.5,177.87,21325
2024-09-30,178.6,178.99,176.46,178.12,63673
2024-10-01,179.11,180.21,179.11,179.95,17958
2024-10-02,177.27,177.56,176.95,177.18,42140
2024-10-03,176.36,179.28,175.9,177.51,19109
2024-10-04,176.85,177.54,175.78,176.68,25304
2024-10-07,178.37,181.43,178.11,178.99,16994
2024-10-08,173.22,174.83,171.78,173.42,18801
2024-10-09,172.48,172.93,171.91,172.22,15755
2024-10-10,174.0,174.45,171.96,173.15,17287
2024-10-11,170.22,172.08,170.22,171.66,18013
2024-10-14,168.96,172.03,164.98,169.44,15932
2024-10-15,170.14,174.82,167.44,170.65,46901
2024-10-16,170.53,171.16,167.84,169.69,15637
2024-10-17,160.71,162.48,159.71,160.9,36447
2024-10-18,159.74,160.05,159.36,159.73,9668
2024-10-21,164.31,164.73,163.44,163.86,50959
2024-10-22,168.21,170.19,168.21,168.77,10798
2024-10-23,169.37,170.13,166.62,169.08,13273
2024-10-24,170.26,172.45,165.3,169.23,19798
2024-10-25,169.8,171.79,168.29,169.29,13749
2024-10-28,167.11,167.7,163.26,165.98,25587
2024-10-29,165.62,165.72,164.03,165.08,73377
2024-10-30,166.91,168.49,164.45,166.03,32472
2024-10-31,165.54,167.65,164.22,165.96,24518
2024-11-01,164.14,165.52,164.14,164.92,19558
2024-11-04,161.25,162.53,160.62,161.2,26569
2024-11-05,160.2,161.75,158.31,160.78,21450
2024-11-06,161.64,162.62,159.4,161.2,15966
2024-11-07,157.66,157.87,155.15,156.67,32699
2024-11-08,151.81,151.81,150.95,151.57,18883
2024-11-11,150.75,151.67,150.16,151.11,18416
2024-11-12,147.08,148.13,145.7,146.91,14947
2024-11-13,149.6,149.88,149.13,149.57,22299
2024-11-14,146.4,147.84,144.77,146.25,40922
2024-11-15,145.9,147.21,144.71,145.66,14717
2024-11-18,146.75,150.59,144.67,146.64,25694
2024-11-19,145.87,148.62,145.29,146.46,28756
2024-11-20,149.82,150.89,147.62,149.59,20121
2024-11-21,147.72,148.85,145.97,147.37,22784
2024-11-22,146.21,146.37,145.48,146.05,23407
2024-11-25,150.52,151.08,148.49,149.95,21006
2024-11-26,150.82,152.92,150.82,152.54,11744
2024-11-27,152.52,153.5,151.06,152.08,32509
2024-11-28,154.75,157.87,152.31,154.75,20796
2024-11-29,156.86,157.49,155.65,156.43,24641
2024-12-02,152.38,154.0,149.56,151.59,19748
2024-12-03,157.11,158.11,156.49,157.13,26988
2024-12-04,160.4,165.25,159.2,161.78,14754
2024-12-05,165.19,165.28,164.09,164.85,34169
2024-12-06,168.67,169.98,164.92,167.55,10863
2024-12-09,166.22,166.59,165.52,166.02,18940
2024-12-10,167.13,167.88,166.95,167.51,21617
2024-12-11,174.53,174.83,173.74,174.47,21139
2024-12-12,173.94,174.05,173.05,173.62,53219
2024-12-13,170.89,172.16,170.26,171.36,21529
2024-12-16,164.44,166.15,164.12,164.89,12247
2024-12-17,160.81,160.85,160.49,160.62,20002
2024-12-18,157.05,157.05,156.12,156.39,34208
