timestamps,open,high,low,close,volume
2024-09-23,363.94,369.8,358.55,362.42,8960
2024-09-24,372.59,372.59,365.48,369.25,11791
2024-09-25,367.79,367.79,360.74,363.71,24156
2024-09-26,346.19,348.38,346.19,347.21,7039
2024-09-27,349.95,350.58,346.24,348.77,35243
2024-09-30,354.92,357.08,346.0,352.04,11862
2024-10-01,350.62,356.94,342.51,349.73,39802
2024-10-02,360.71,363.57,358.04,359.49,21318
2024-10-03,357.82,359.69,357.82,358.68,13383
2024-10-04,364.13,369.79,360.12,364.82,16099
2024-10-07,358.88,360.57,358.88,359.87,7713
2024-10-08,370.41,372.63,365.44,370.62,22790
2024-10-09,381.43,381.43,375.66,377.31,32625
2024-10-10,376.7,380.17,374.02,378.4,22571
2024-10-11,376.9,381.83,370.6,377.92,13125
2024-10-14,367.84,367.84,365.01,365.65,11699
2024-10-15,367.13,367.13,360.87,362.94,14053
2024-10-16,377.42,385.77,368.58,377.14,27787
2024-10-17,373.21,378.41,368.65,373.02,15154
2024-10-18,379.17,381.76,376.71,379.38,24919
2024-10-21,379.93,380.06,379.83,379.93,20666
2024-10-22,367.6,375.61,359.87,365.41,21869
2024-10-23,361.93,363.33,361.93,363.27,16591
2024-10-24,365.42,366.93,360.98,364.04,42097
2024-10-25,367.87,369.67,356.69,363.84,21528
2024-10-28,357.66,358.19,355.76,356.79,23249
2024-10-29,350.81,352.81,348.8,350.84,24830
2024-10-30,345.74,350.2,341.61,344.87,28523
2024-10-31,342.55,350.24,338.86,344.54,14373
2024-11-01,347.41,352.18,347.19,349.54,21688
2024-11-04,344.56,346.39,341.55,343.94,15457
2024-11-05,335.84,342.84,333.49,338.01,14558
2024-11-06,333.22,336.51,329.98,333.96,37577
2024-11-07,323.22,325.49,319.51,323.15,12783
2024-11-08,324.54,324.54,322.36,322.84,17002
2024-11-11,319.37,322.94,318.26,320.95,33643
2024-11-12,325.65,331.56,318.19,325.05,11904
2024-11-13,329.85,333.35,328.26,329.8,24323
2024-11-14,324.67,329.01,315.6,323.67,14306
2024-11-15,323.77,323.77,318.71,320.56,8220
2024-11-18,314.81,318.49,314.11,317.1,19628
2024-11-19,310.87,311.65,309.69,310.5,28789
2024-11-20,321.91,323.32,318.84,321.54,12406
2024-11-21,328.16,333.39,320.24,329.68,9641
