timestamps,open,high,low,close,volume
2024-09-23,466.11,470.43,456.04,463.64,22600
2024-09-24,463.71,466.77,463.71,466.74,15187
2024-09-25,465.94,467.17,464.79,465.88,23191
2024-09-26,458.63,458.63,455.14,455.83,69523
2024-09-27,450.08,451.6,449.86,450.82,20766
2024-09-30,455.15,461.21,451.73,457.0,30436
2024-10-01,462.52,470.85,461.86,466.36,41339
2024-10-02,467.1,468.82,462.84,464.88,24569
2024-10-03,465.21,465.21,453.52,461.42,14048
2024-10-04,463.47,466.04,462.8,464.32,18040
2024-10-07,474.32,477.86,474.32,477.21,20263
2024-10-08,481.24,481.37,478.64,479.89,12468
2024-10-09,470.57,475.47,466.89,471.05,23358
2024-10-10,455.09,455.09,448.11,451.31,31634
2024-10-11,449.46,450.78,447.7,449.13,44917
2024-10-14,452.23,459.78,439.12,450.51,27529
2024-10-15,465.4,465.4,461.98,462.01,7711
2024-10-16,457.8,457.8,453.32,454.12,20005
2024-10-17,450.95,459.88,449.51,453.29,21559
2024-10-18,442.62,450.65,442.62,446.52,21789
2024-10-21,446.25,454.06,443.63,448.94,42446
2024-10-22,433.9,441.29,433.9,436.36,15215
2024-10-23,449.45,451.18,444.22,446.95,74745
2024-10-24,457.87,458.69,456.18,457.65,25560
2024-10-25,446.84,449.9,445.98,447.98,18395
2024-10-28,454.81,454.81,451.02,452.99,18771
2024-10-29,453.61,457.34,444.45,451.1,10054
2024-10-30,461.12,473.41,450.99,462.21,8092
2024-10-31,449.41,451.72,449.41,451.15,27490
2024-11-01,448.06,450.51,441.27,447.41,18258
2024-11-04,450.98,451.72,449.36,450.9,8222
2024-11-05,446.17,446.17,442.95,443.24,13652
2024-11-06,441.14,442.83,440.83,441.99,32576
2024-11-07,439.66,440.75,439.51,440.05,23198
2024-11-08,439.92,441.38,438.97,440.15,29201
2024-11-11,444.37,445.79,442.97,444.5,30418
2024-11-12,445.19,446.72,442.0,444.8,50651
2024-11-13,435.98,442.04,426.16,437.26,19821
2024-11-14,434.23,434.23,432.25,432.73,10168
2024-11-15,420.8,422.88,420.8,422.81,24319
2024-11-18,417.41,420.29,417.41,419.11,22556
2024-11-19,405.96,411.52,402.51,407.6,31922
2024-11-20,415.8,417.68,411.58,413.55,16846
2024-11-21,409.81,413.74,409.16,412.26,42676
2024-11-22,422.92,422.92,420.18,420.41,13696
2024-11-25,416.51,419.65,414.61,417.93,31614
2024-11-26,412.09,419.28,410.06,412.62,14770
2024-11-27,414.38,414.38,413.63,414.06,37129
2024-11-28,421.19,428.35,416.89,422.46,15238
2024-11-29,423.83,426.59,417.17,424.17,15247
2024-12-02,426.94,432.07,422.0,426.68,38719
2024-12-03,424.69,430.31,421.04,424.19,80109
2024-12-04,418.47,419.04,418.47,418.86,35483
2024-12-05,402.77,403.33,400.29,401.64,3887
2024-12-06,406.47,412.88,402.84,408.65,25591
2024-12-09,412.07,413.88,410.96,412.77,24913
2024-12-10,419.98,430.39,410.21,420.92,49112
2024-12-11,419.39,426.32,412.09,419.39,45394
2024-12-12,427.59,435.37,423.26,428.76,20369
2024-12-13,427.44,428.67,426.27,427.52,20119
2024-12-16,439.24,439.24,434.32,435.9,44864
2024-12-17,441.27,444.89,440.36,443.24,17622
2024-12-18,431.0,431.03,427.14,429.51,13708
2024-12-19,432.64,432.64,431.91,432.31,20156
2024-12-20,425.2,429.17,425.2,428.25,21539
2024-12-23,424.01,429.96,424.01,428.35,18769
2024-12-24,435.82,435.94,433.83,435.14,18979
2024-12-25,439.0,439.0,435.98,437.6,40429
2024-12-26,452.46,457.21,446.13,451.4,34393
2024-12-27,450.94,454.57,449.77,452.39,23216
2024-12-30,450.57,450.67,446.44,448.52,15449
2024-12-31,448.32,450.22,446.45,447.84,21209
2025-01-01,436.99,439.64,436.99,439.03,16693
2025-01-02,436.91,438.45,436.32,437.23,17214
2025-01-03,431.79,435.19,431.53,433.1,20701
2025-01-06,436.41,438.14,434.97,436.29,30928
2025-01-07,430.23,431.83,425.46,427.93,16213
2025-01-08,432.45,437.16,432.45,434.35,28315
2025-01-09,426.17,426.17,418.18,421.26,25387
2025-01-10,428.39,428.39,425.16,426.85,29351
2025-01-13,420.3,422.27,420.3,422.2,25563
2025-01-14,413.59,421.08,411.21,413.98,19680
2025-01-15,419.26,420.5,413.44,416.46,16332
2025-01-16,400.06,403.44,400.06,403.22,28761
2025-01-17,403.71,410.76,399.53,404.94,9405
2025-01-20,399.13,407.32,397.98,400.5,44072
2025-01-21,397.31,399.63,397.31,398.76,20714
2025-01-22,417.66,420.76,416.3,417.58,38020
2025-01-23,411.76,412.67,410.32,411.89,70503
2025-01-24,410.86,415.5,406.88,411.47,48310
2025-01-27,413.31,417.61,413.31,416.53,24198
2025-01-28,424.59,425.61,423.19,424.22,21355
2025-01-29,423.45,431.07,421.72,425.54,32617
2025-01-30,423.83,430.71,418.22,423.24,24912
2025-01-31,421.0,423.93,414.81,420.52,22522
2025-02-03,408.48,409.81,408.48,409.75,15403
2025-02-04,405.04,415.15,397.26,406.05,45868
2025-02-05,414.74,414.74,413.39,413.85,34736
2025-02-06,414.69,414.69,407.76,409.75,8570
2025-02-07,416.98,416.98,414.7,415.62,15871
2025-02-10,422.73,423.05,416.02,420.25,25422
2025-02-11,422.35,423.05,419.88,421.1,18447
2025-02-12,420.41,420.41,415.47,417.96,33455
2025-02-13,423.18,433.47,412.17,423.98,16431
2025-02-14,436.31,436.52,431.02,434.48,59694
2025-02-17,420.17,423.81,412.3,419.78,25382
2025-02-18,407.29,414.2,407.29,410.93,12682
2025-02-19,431.05,431.05,426.01,426.8,54082
2025-02-20,440.71,446.28,440.71,444.01,47591
2025-02-21,449.11,450.09,445.76,447.51,55915
2025-02-24,444.27,445.54,441.95,443.07,12847
2025-02-25,426.04,440.07,426.04,430.83,21385
2025-02-26,430.66,430.67,429.32,429.9,57275
2025-02-27,431.34,436.98,428.31,431.78,16448
2025-02-28,417.72,429.16,416.92,422.42,20436
2025-03-03,413.69,419.04,413.69,417.1,29003
2025-03-04,423.61,429.56,418.54,425.29,66640
2025-03-05,427.28,428.55,426.65,427.54,19222
2025-03-06,420.49,422.71,417.74,420.23,22950
2025-03-07,425.5,430.3,425.5,428.99,16084
2025-03-10,431.54,434.43,427.64,430.99,7779
2025-03-11,449.05,451.34,448.89,449.98,16894
2025-03-12,454.57,458.14,452.84,455.55,22724
2025-03-13,458.62,458.62,456.79,456.89,14244
2025-03-14,452.8,464.52,445.1,457.59,16944
2025-03-17,462.6,477.5,451.02,464.81,141777
2025-03-18,455.81,464.51,455.54,459.95,25112
2025-03-19,442.1,447.41,436.65,440.76,15135
2025-03-20,438.53,443.8,438.53,442.33,59651
2025-03-21,447.24,447.24,442.99,443.98,44166
2025-03-24,441.45,441.88,437.2,439.8,75588
2025-03-25,443.07,443.86,440.94,442.16,15172
2025-03-26,452.67,455.58,439.66,448.23,9085
2025-03-27,442.3,446.39,440.64,444.04,31845
2025-03-28,445.94,449.63,443.74,447.4,29508
2025-03-31,448.58,451.33,448.58,450.23,25907
2025-04-01,451.96,452.6,450.17,451.86,41151
2025-04-02,449.07,456.49,435.57,446.66,8183
2025-04-03,438.37,446.49,438.17,441.21,18137
2025-04-04,444.2,447.01,444.2,446.73,26827
2025-04-07,442.38,446.4,442.29,444.47,26539
2025-04-08,445.07,455.79,445.07,449.33,40064
2025-04-09,452.54,457.82,443.55,451.18,10943
2025-04-10,443.51,448.22,438.37,444.36,16484
2025-04-11,449.52,450.26,438.93,447.05,43438
2025-04-14,457.48,457.89,447.05,454.13,13663
2025-04-15,455.56,459.71,455.56,457.67,14391
2025-04-16,457.83,477.73,451.55,461.62,22740
2025-04-17,469.24,469.24,465.97,466.27,26690
2025-04-18,461.87,465.2,456.47,461.64,39472
2025-04-21,457.93,463.71,446.22,453.27,46428
2025-04-22,449.25,453.25,445.03,447.95,30892
2025-04-23,452.56,456.14,449.89,453.37,81812
2025-04-24,466.08,468.85,463.72,465.68,72636
2025-04-25,466.47,468.1,460.97,465.7,27145
2025-04-28,474.06,477.37,474.06,476.71,28949
2025-04-29,489.07,490.59,489.07,490.47,13637
2025-04-30,495.88,495.88,492.02,492.24,17956
2025-05-01,491.24,500.56,487.39,493.35,44387
2025-05-02,482.75,485.67,482.75,485.27,36018
2025-05-05,481.81,483.12,476.35,480.25,30938
2025-05-06,471.64,478.24,457.93,472.68,34537
2025-05-07,472.88,476.11,470.12,472.53,69926
2025-05-08,472.13,475.37,467.4,472.0,26255
2025-05-09,470.13,476.37,467.6,472.1,25637
2025-05-12,474.63,486.89,474.63,478.78,41154
2025-05-13,492.94,494.82,491.39,493.08,12609
2025-05-14,491.09,496.79,488.8,492.34,15219
2025-05-15,488.47,490.93,484.32,488.91,28547
2025-05-16,489.32,489.32,481.62,484.44,59251
2025-05-19,479.06,485.63,474.34,478.87,9336
2025-05-20,481.49,482.41,465.6,475.85,33189
2025-05-21,473.54,475.68,472.19,474.15,46408
2025-05-22,466.92,468.35,464.17,465.49,17932
2025-05-23,464.65,469.97,459.18,465.38,24891
2025-05-26,464.81,472.37,449.59,464.56,37540
2025-05-27,460.56,473.2,460.56,468.6,22108
2025-05-28,473.8,475.44,470.25,472.33,12148
2025-05-29,451.68,457.37,445.42,451.61,20459
2025-05-30,439.85,444.19,438.71,441.81,59384
2025-06-02,444.75,448.12,444.75,447.66,23982
2025-06-03,459.41,461.74,458.0,459.95,35950
2025-06-04,458.27,458.27,454.19,456.06,11236
2025-06-05,463.97,466.45,455.25,461.04,24162
2025-06-06,459.86,459.86,458.87,458.96,24682
2025-06-09,476.62,478.49,459.76,470.49,22835
2025-06-10,473.7,473.7,462.63,469.39,27841
2025-06-11,454.94,454.94,449.29,452.15,35898
2025-06-12,451.3,456.35,446.64,449.63,9294
2025-06-13,438.9,444.21,438.9,442.56,21583
2025-06-16,446.89,448.72,446.89,448.36,34373
2025-06-17,447.48,455.93,435.09,445.32,15204
2025-06-18,465.28,465.28,460.21,461.61,22548
2025-06-19,462.47,462.47,461.38,461.77,41931
2025-06-20,466.07,466.07,461.53,463.94,12561
2025-06-23,457.59,459.9,456.25,457.93,18915
2025-06-24,455.1,455.1,451.65,452.04,29749
2025-06-25,453.34,466.64,447.65,456.36,11120
2025-06-26,469.55,470.3,467.98,469.13,14815
2025-06-27,473.86,474.03,468.44,471.08,43872
2025-06-30,475.86,482.2,472.84,477.61,19090
2025-07-01,459.52,462.2,459.52,461.25,23256
2025-07-02,458.38,458.38,457.42,458.03,25941
2025-07-03,464.44,471.91,459.65,466.24,41823
2025-07-04,462.76,476.17,457.4,467.67,48792
2025-07-07,482.98,483.48,482.49,483.01,33737
2025-07-08,484.14,492.77,472.98,484.06,18763
2025-07-09,497.07,500.71,497.07,499.66,30114
2025-07-10,497.52,499.08,497.52,498.83,23400
2025-07-11,505.68,505.68,502.21,503.4,12085
2025-07-14,513.44,513.44,504.14,508.62,38248
2025-07-15,503.64,508.77,496.49,502.39,8638
2025-07-16,501.61,505.76,498.85,502.22,27175
2025-07-17,498.22,502.52,495.67,499.36,50833
2025-07-18,510.12,510.12,503.79,505.44,34395
2025-07-21,508.92,517.87,501.81,508.44,20201
2025-07-22,503.25,505.49,500.15,502.98,19317
2025-07-23,513.82,524.12,508.35,514.05,25289
2025-07-24,512.6,517.78,512.6,515.3,23246
2025-07-25,491.02,496.43,490.01,492.87,22175
2025-07-28,481.97,486.86,481.97,485.31,22783
2025-07-29,489.18,491.91,484.48,487.48,14218
2025-07-30,488.28,489.55,480.95,485.05,25640
2025-07-31,476.45,483.42,476.42,479.02,12140
2025-08-01,485.77,486.49,480.44,483.71,13837
2025-08-04,477.99,481.57,477.76,479.66,20401
2025-08-05,483.86,483.86,481.63,481.77,26386
2025-08-06,477.16,484.71,472.02,479.2,29204
2025-08-07,510.12,515.51,495.37,504.66,20851
2025-08-08,507.82,510.57,499.39,506.26,5947
2025-08-11,512.81,514.62,511.22,512.2,9060
2025-08-12,519.54,522.07,519.54,521.67,15064
2025-08-13,514.24,517.19,511.38,513.63,20761
2025-08-14,516.61,521.99,512.34,518.32,13551
2025-08-15,514.07,523.42,509.24,515.18,10855
2025-08-18,504.09,510.14,495.73,504.37,22116
2025-08-19,494.28,499.04,485.97,489.32,21149
2025-08-20,483.71,487.44,483.71,485.86,27023
2025-08-21,494.3,496.44,490.33,493.54,46592
2025-08-22,498.51,504.18,494.72,499.06,21894
2025-08-25,507.8,515.2,507.8,513.93,45219
2025-08-26,516.5,516.5,509.58,511.97,21659
2025-08-27,510.88,511.5,502.71,508.55,20408
2025-08-28,488.26,488.26,486.25,487.01,39902
2025-08-29,485.49,487.2,478.28,483.36,42704
2025-09-01,488.45,492.0,487.45,489.48,13157
2025-09-02,492.59,492.59,486.79,487.2,92621
2025-09-03,486.23,488.01,486.23,487.42,20221
2025-09-04,503.26,503.26,503.0,503.1,35403
2025-09-05,515.14,519.58,510.9,514.63,10419
2025-09-08,499.01,505.62,492.4,498.38,32280
2025-09-09,517.21,523.33,505.61,518.99,41534
2025-09-10,511.24,528.21,510.28,515.67,66284
2025-09-11,503.88,506.76,499.88,504.19,25786
2025-09-12,506.19,521.93,500.66,506.76,8810
2025-09-15,510.49,512.05,508.91,510.5,24965
2025-09-16,501.79,506.21,501.79,506.16,21514
2025-09-17,512.49,513.65,512.49,513.13,35425
2025-09-18,512.64,519.25,510.86,514.08,18564
2025-09-19,520.45,529.97,516.06,521.83,27261
2025-09-22,533.23,538.83,525.49,530.19,30776
2025-09-23,515.98,519.75,502.35,514.92,31660
2025-09-24,516.57,521.26,510.55,515.12,28742
2025-09-25,511.86,513.43,511.86,512.72,16704
2025-09-26,509.27,514.44,502.63,510.15,21103
2025-09-29,516.13,519.63,513.25,515.37,16927
2025-09-30,514.87,517.48,512.74,515.16,21372
2025-10-01,511.03,513.61,509.64,512.32,31055
2025-10-02,510.56,518.33,508.83,511.4,31741
2025-10-03,486.68,493.84,486.68,493.83,27931
2025-10-06,500.09,503.13,493.69,499.17,39591
2025-10-07,499.43,500.03,489.17,497.38,60772
2025-10-08,512.47,512.47,504.08,506.08,22272
2025-10-09,509.5,516.98,497.77,506.56,60447
2025-10-10,500.79,502.75,497.65,499.35,25728
2025-10-13,507.7,507.7,504.19,504.58,24799
2025-10-14,495.81,501.29,495.57,499.68,31007
2025-10-15,498.31,506.61,498.31,502.9,9555
2025-10-16,509.94,515.81,498.98,506.83,20721
2025-10-17,511.77,520.22,500.05,512.62,43233
2025-10-20,517.15,520.26,513.89,516.65,8320
2025-10-21,510.46,514.47,510.46,514.36,49988
2025-10-22,525.3,526.83,521.26,523.66,13506
2025-10-23,542.61,545.2,536.67,541.61,41291
2025-10-24,541.96,549.11,539.55,542.76,11663
2025-10-27,528.0,530.31,526.04,528.08,17293
2025-10-28,520.95,529.09,510.59,521.77,25336
2025-10-29,510.3,516.68,510.29,514.19,20447
2025-10-30,520.67,520.67,513.58,515.62,25691
2025-10-31,513.19,513.72,512.3,512.89,10348
2025-11-03,520.42,520.76,517.93,519.34,12228
2025-11-04,523.93,524.24,519.05,521.99,10872
2025-11-05,512.66,522.74,511.2,516.22,45236
2025-11-06,494.33,494.33,492.18,492.69,17353
2025-11-07,489.5,494.1,487.48,490.33,13193
