timestamps,open,high,low,close,volume
2024-09-23,444.54,444.54,434.39,441.03,26907
2024-09-24,441.26,441.26,435.53,437.01,14515
2024-09-25,441.13,443.06,437.54,441.56,10676
2024-09-26,443.69,445.0,443.69,444.62,11302
2024-09-27,444.49,446.38,429.56,439.31,34599
2024-09-30,430.26,434.83,428.98,431.27,18342
2024-10-01,441.01,441.01,434.19,437.18,28998
2024-10-02,438.3,444.78,435.16,439.1,18517
2024-10-03,444.16,450.05,444.16,449.18,8486
2024-10-04,446.37,447.0,445.3,446.23,18497
2024-10-07,451.68,460.59,444.61,454.64,6212
2024-10-08,457.96,457.96,453.42,453.89,13233
2024-10-09,431.92,438.4,431.92,437.06,11498
2024-10-10,439.59,444.98,436.52,441.85,34576
2024-10-11,442.66,450.03,442.66,445.36,27875
2024-10-14,449.57,458.02,447.45,453.52,20651
2024-10-15,453.83,457.84,449.98,454.91,20060
2024-10-16,459.98,462.84,457.4,459.47,25786
2024-10-17,464.6,471.94,460.46,464.88,11022
2024-10-18,468.15,477.86,462.16,470.59,12174
2024-10-21,479.56,488.23,469.89,478.55,20310
2024-10-22,462.24,462.81,460.99,462.07,7131
2024-10-23,459.74,470.54,455.55,460.62,17069
2024-10-24,463.82,464.27,458.25,459.81,29456
2024-10-25,463.22,463.28,459.03,461.4,17815
2024-10-28,460.65,464.51,459.43,462.55,9775
2024-10-29,445.47,450.37,444.5,447.48,12627
2024-10-30,451.86,454.76,450.08,451.63,12612
2024-10-31,441.83,452.2,441.83,445.67,22058
2024-11-01,443.7,443.78,441.15,442.92,17579
2024-11-04,436.83,439.21,430.33,435.37,22451
2024-11-05,420.37,427.73,416.24,421.34,9013
2024-11-06,412.06,418.75,401.48,411.78,25217
2024-11-07,408.59,410.31,401.19,406.15,25317
2024-11-08,398.77,401.63,398.77,400.84,9446
2024-11-11,412.18,417.92,406.53,412.55,9897
2024-11-12,407.92,414.59,401.84,407.34,9006
2024-11-13,407.82,416.78,405.58,410.95,17753
2024-11-14,412.33,412.33,409.75,409.8,17538
2024-11-15,414.21,414.21,408.51,411.71,17029
2024-11-18,406.39,410.62,406.39,408.74,7750
2024-11-19,397.74,399.72,392.62,396.37,34083
2024-11-20,403.87,407.41,402.93,404.08,20801
2024-11-21,409.13,409.13,407.76,408.23,14288
2024-11-22,407.38,409.72,404.31,407.37,23658
2024-11-25,396.43,397.03,395.53,396.41,8310
2024-11-26,401.49,404.79,395.64,402.05,14699
2024-11-27,405.21,406.62,401.76,404.15,9041
2024-11-28,415.18,416.21,413.15,414.82,14188
2024-11-29,428.7,432.53,419.1,425.5,18920
2024-12-02,422.96,433.51,414.79,422.66,11101
2024-12-03,429.34,429.34,425.01,426.2,4919
2024-12-04,438.37,448.55,428.1,438.8,27651
2024-12-05,435.35,435.35,431.94,431.99,17381
2024-12-06,431.94,432.04,429.85,431.2,17353
2024-12-09,420.82,426.07,420.82,424.06,73302
2024-12-10,420.05,426.33,419.89,422.41,10823
2024-12-11,410.06,416.39,410.06,414.64,11048
2024-12-12,407.21,414.25,402.51,406.88,19739
2024-12-13,421.21,421.21,420.65,420.7,31620
2024-12-16,426.24,428.39,426.24,427.09,14478
2024-12-17,422.47,428.44,420.29,423.37,13131
2024-12-18,416.54,418.89,408.65,414.64,19961
2024-12-19,425.45,425.45,416.9,421.97,18256
2024-12-20,420.55,420.58,417.75,418.87,30751
2024-12-23,423.7,428.21,414.39,423.21,7941
2024-12-24,412.57,417.56,411.64,414.52,19324
2024-12-25,409.59,410.74,409.32,410.01,16553
2024-12-26,405.85,408.94,404.37,406.2,13574
2024-12-27,416.3,417.67,415.96,417.06,11621
2024-12-30,405.22,416.5,404.61,410.16,7819
2024-12-31,399.69,408.01,398.22,401.56,32735
2025-01-01,419.36,421.24,413.18,418.93,11049
2025-01-02,420.67,422.87,420.67,421.82,30061
2025-01-03,406.86,408.52,404.93,407.47,5327
2025-01-06,395.28,396.87,392.55,395.15,18918
2025-01-07,394.04,399.98,391.4,397.92,22163
2025-01-08,390.13,398.44,389.5,391.82,11665
2025-01-09,393.95,397.81,390.89,392.67,17956
2025-01-10,402.2,402.2,398.56,398.79,12163
2025-01-13,395.22,397.8,395.22,396.88,12041
2025-01-14,386.89,386.89,382.81,383.82,16342
2025-01-15,389.34,389.34,383.6,386.46,9565
2025-01-16,405.46,405.46,398.6,401.52,12226
2025-01-17,423.54,424.9,411.9,419.4,18920
2025-01-20,431.31,433.28,425.88,429.07,15351
2025-01-21,416.95,417.8,416.14,417.01,34539
2025-01-22,421.54,422.79,417.66,419.39,8875
2025-01-23,435.51,435.51,431.98,432.69,3554
2025-01-24,419.39,419.5,418.57,419.13,15381
2025-01-27,410.57,413.6,404.8,408.12,24433
2025-01-28,410.84,413.56,409.05,411.73,11147
2025-01-29,422.48,434.29,415.64,426.52,23247
2025-01-30,422.51,422.51,417.56,419.36,19390
2025-01-31,409.53,413.73,409.53,413.12,7357
2025-02-03,418.46,420.72,412.85,417.68,9459
2025-02-04,405.35,412.14,403.66,407.55,14377
2025-02-05,415.15,425.05,399.52,417.03,21823
2025-02-06,419.98,426.82,418.17,423.11,11434
2025-02-07,412.41,413.75,410.89,411.97,8153
2025-02-10,398.94,399.43,392.99,396.95,10592
2025-02-11,395.02,398.53,393.55,396.14,10490
2025-02-12,388.17,389.3,384.66,387.59,9260
2025-02-13,388.21,389.79,388.21,389.59,24882
2025-02-14,389.85,391.46,385.38,388.95,19643
2025-02-17,389.2,395.29,386.54,389.34,9645
2025-02-18,389.51,389.84,388.65,389.27,11582
2025-02-19,385.48,387.26,379.4,383.96,7524
2025-02-20,376.6,380.52,376.41,377.94,11970
2025-02-21,381.9,381.9,379.61,381.01,34464
2025-02-24,380.84,383.42,379.93,382.24,21974
2025-02-25,379.03,379.03,378.21,378.57,15892
2025-02-26,379.57,383.66,375.92,378.88,6525
