timestamps,open,high,low,close,volume
2024-09-23,497.29,497.29,483.39,488.93,24484
2024-09-24,498.66,498.66,492.95,495.79,12753
2024-09-25,495.22,498.36,490.96,494.94,24268
2024-09-26,498.79,498.79,490.89,493.27,12661
2024-09-27,480.2,480.59,471.04,475.96,25252
2024-09-30,469.31,485.71,450.88,469.9,9264
2024-10-01,481.44,481.44,477.44,478.0,6691
2024-10-02,477.37,477.37,471.88,472.7,22384
2024-10-03,465.8,471.16,457.85,466.32,15732
2024-10-04,461.78,461.78,459.01,460.41,12535
2024-10-07,451.53,455.71,451.12,453.9,10161
2024-10-08,459.76,462.54,455.02,458.8,17067
2024-10-09,437.2,437.77,420.55,433.31,12599
2024-10-10,431.13,437.97,425.32,431.59,27302
2024-10-11,429.8,429.8,427.79,427.86,11622
2024-10-14,427.94,437.83,415.62,429.19,17254
2024-10-15,421.15,424.95,421.15,423.32,17259
2024-10-16,426.74,429.39,418.01,425.71,8255
2024-10-17,423.08,426.23,423.08,425.78,16916
2024-10-18,428.34,431.37,428.34,430.72,16381
2024-10-21,441.49,441.49,435.99,438.7,10506
2024-10-22,435.64,441.73,434.66,437.75,7203
2024-10-23,434.31,438.03,432.95,435.47,21325
2024-10-24,457.6,463.51,449.72,456.84,22459
2024-10-25,463.96,463.96,457.82,460.2,22451
2024-10-28,439.62,447.27,439.62,444.2,13353
2024-10-29,446.35,451.72,442.63,446.2,7360
2024-10-30,430.38,430.38,426.49,427.4,5232
2024-10-31,434.46,435.51,427.29,433.12,20695
2024-11-01,439.06,439.29,438.68,438.99,14672
2024-11-04,456.21,460.05,450.55,454.38,36914
2024-11-05,452.5,453.99,450.04,451.61,11894
2024-11-06,453.53,457.31,440.62,450.1,11791
2024-11-07,445.55,447.37,443.27,445.55,17889
2024-11-08,458.37,461.92,455.63,458.26,25299
2024-11-11,469.47,477.36,463.21,469.72,17421
2024-11-12,478.11,480.73,468.32,475.09,14994
2024-11-13,464.19,464.19,461.74,462.97,18352
2024-11-14,453.63,467.51,435.54,454.02,9455
2024-11-15,456.95,464.44,456.1,460.47,25328
2024-11-18,463.39,471.04,463.39,466.26,18012
2024-11-19,450.13,450.13,447.43,448.64,6376
2024-11-20,446.11,448.12,445.8,446.69,6778
2024-11-21,445.99,448.48,442.27,446.28,20210
2024-11-22,432.35,432.35,427.75,429.64,18523
2024-11-25,435.19,435.78,430.19,434.2,17386
2024-11-26,435.38,441.6,435.38,440.55,16297
2024-11-27,442.04,448.46,442.04,445.4,13924
2024-11-28,442.88,445.79,442.87,444.28,20792
2024-11-29,434.9,436.84,434.9,436.74,21258
2024-12-02,429.59,434.93,422.3,428.06,17574
2024-12-03,427.78,430.82,419.09,427.51,9936
2024-12-04,412.8,414.06,410.23,411.92,38727
