timestamps,open,high,low,close,volume
2024-09-23,552.21,555.42,552.21,554.25,5659
2024-09-24,562.88,566.09,556.42,560.24,8985
2024-09-25,567.36,567.56,556.5,562.14,11063
2024-09-26,559.76,559.76,556.46,556.93,18778
2024-09-27,541.62,546.26,537.05,542.08,12288
2024-09-30,542.67,549.47,523.98,539.99,10215
2024-10-01,547.21,552.48,547.21,549.79,19458
2024-10-02,547.0,558.12,535.93,548.56,18484
2024-10-03,569.14,580.18,569.14,573.82,9495
2024-10-04,565.82,574.24,565.42,568.67,11132
2024-10-07,570.46,576.88,564.3,572.64,22247
2024-10-08,598.35,601.37,590.43,595.48,14436
2024-10-09,574.41,579.09,574.41,576.7,13520
2024-10-10,576.05,576.05,567.87,572.32,20763
2024-10-11,562.58,564.72,553.52,561.67,13315
2024-10-14,554.79,558.47,541.89,551.52,14264
2024-10-15,573.29,579.59,569.26,572.26,19233
2024-10-16,576.71,576.71,572.03,573.39,16671
2024-10-17,565.35,566.09,564.35,565.39,7972
2024-10-18,559.8,565.65,554.21,561.44,10469
2024-10-21,564.53,564.95,553.61,560.27,15762
2024-10-22,546.2,547.76,545.87,547.06,13502
2024-10-23,548.16,551.21,530.29,542.28,12529
2024-10-24,558.04,558.04,554.75,555.53,19767
2024-10-25,559.49,559.49,551.0,553.09,8210
2024-10-28,551.33,556.59,551.33,555.62,9404
2024-10-29,544.87,552.12,542.94,546.85,26553
2024-10-30,556.84,556.84,545.18,550.07,13466
2024-10-31,548.27,557.6,535.52,546.97,19931
2024-11-01,551.79,551.79,548.01,548.46,13079
2024-11-04,564.74,564.74,559.64,560.97,30983
2024-11-05,561.99,573.91,551.95,563.36,22684
2024-11-06,587.79,589.62,583.74,586.33,17246
2024-11-07,579.85,585.22,579.85,582.8,15057
2024-11-08,590.24,590.24,584.41,586.74,16897
2024-11-11,590.62,590.62,585.13,587.75,12553
2024-11-12,583.53,588.4,583.53,585.43,8432
2024-11-13,585.45,585.45,580.9,581.53,15973
2024-11-14,572.19,576.43,569.28,574.0,11465
2024-11-15,567.05,567.65,566.88,567.3,16128
2024-11-18,569.97,574.17,560.02,569.15,13695
2024-11-19,555.28,557.05,555.16,555.7,7517
2024-11-20,562.16,565.47,556.27,561.95,23651
2024-11-21,557.34,561.66,538.42,555.34,18434
2024-11-22,541.12,550.27,531.12,543.31,25746
2024-11-25,539.26,547.82,538.68,543.01,8492
2024-11-26,549.91,551.09,541.25,546.66,9362
2024-11-27,555.68,566.48,553.41,557.46,22829
2024-11-28,571.88,579.87,562.68,570.96,15127
2024-11-29,572.46,575.68,572.46,575.57,14137
2024-12-02,576.68,579.99,570.17,574.88,17569
2024-12-03,571.71,571.71,569.28,570.27,19716
2024-12-04,569.01,569.34,565.01,566.96,24090
2024-12-05,556.45,562.65,556.31,560.49,11928
2024-12-06,549.21,556.73,542.97,550.69,14070
2024-12-09,536.36,538.94,531.4,534.51,23284
2024-12-10,519.08,525.77,512.98,520.53,19719
2024-12-11,515.27,519.41,515.27,518.23,16836
2024-12-12,541.3,553.14,533.06,538.98,8506
2024-12-13,554.13,558.58,554.13,558.18,8635
2024-12-16,558.0,558.58,557.65,557.99,12672
2024-12-17,547.99,549.27,540.04,545.57,16164
2024-12-18,545.21,547.92,545.21,546.53,16995
2024-12-19,532.49,537.83,530.44,534.32,21979
2024-12-20,535.33,549.05,523.36,536.58,43191
2024-12-23,530.36,530.8,527.13,528.75,14009
2024-12-24,542.92,542.92,533.58,538.91,11620
2024-12-25,519.6,529.85,514.59,519.13,8267
2024-12-26,516.42,517.24,509.35,513.22,54296
2024-12-27,513.85,513.85,506.04,508.63,13431
2024-12-30,509.85,510.7,505.7,509.24,7098
2024-12-31,520.38,526.51,514.67,521.03,23282
2025-01-01,501.48,503.78,500.25,502.52,13707
2025-01-02,513.94,515.52,507.72,512.04,22765
2025-01-03,518.14,523.92,516.83,519.8,9715
2025-01-06,516.49,516.89,513.57,515.28,30020
2025-01-07,542.54,542.54,536.87,539.67,12773
2025-01-08,550.2,557.25,539.16,550.06,3042
2025-01-09,545.4,550.54,534.8,542.87,19021
2025-01-10,536.24,540.25,536.24,538.61,13061
2025-01-13,543.8,550.12,532.18,541.29,16102
2025-01-14,521.61,533.39,518.92,527.17,23038
2025-01-15,522.11,527.3,522.11,525.02,22630
2025-01-16,538.33,538.33,527.72,533.31,20120
2025-01-17,527.4,529.21,527.4,528.56,9006
2025-01-20,529.61,535.58,525.91,530.92,10267
2025-01-21,521.07,526.34,510.1,521.73,14308
2025-01-22,527.93,535.15,520.29,527.45,16897
2025-01-23,511.95,514.73,511.95,513.3,8225
2025-01-24,508.79,516.26,508.51,512.25,17515
2025-01-27,513.2,516.17,513.2,515.21,17098
2025-01-28,506.91,519.23,506.05,510.26,13962
2025-01-29,500.8,503.86,494.91,498.73,26345
2025-01-30,498.15,499.74,497.13,498.44,14881
2025-01-31,500.56,500.56,499.72,500.13,7080
2025-02-03,512.63,519.11,503.22,512.88,9790
2025-02-04,516.71,520.69,514.82,517.35,9275
2025-02-05,510.91,521.04,502.05,511.03,11402
2025-02-06,505.8,514.3,501.03,505.07,13562
2025-02-07,513.96,513.96,508.43,509.01,5059
2025-02-10,511.7,518.72,501.82,510.93,5746
2025-02-11,522.41,522.83,521.21,522.21,22853
2025-02-12,520.11,529.84,512.18,519.52,22059
2025-02-13,518.15,518.15,515.8,516.59,7157
2025-02-14,512.58,517.63,512.58,514.88,18154
2025-02-17,505.39,510.44,502.98,507.38,8926
2025-02-18,507.4,513.45,501.66,508.23,24826
2025-02-19,521.07,522.14,520.5,520.96,15174
2025-02-20,521.26,521.26,516.05,518.7,6943
2025-02-21,525.72,525.72,524.66,525.05,20805
2025-02-24,523.53,534.16,519.89,526.22,9596
2025-02-25,528.3,532.77,521.13,528.57,11665
2025-02-26,518.84,523.65,518.4,521.42,9926
2025-02-27,517.4,517.4,506.82,511.06,12485
2025-02-28,515.17,515.17,511.81,512.03,22773
2025-03-03,501.35,512.85,501.35,508.35,10132
2025-03-04,517.58,524.86,512.65,519.9,7634
2025-03-05,532.67,538.82,523.09,530.27,8425
2025-03-06,531.15,548.09,522.85,534.75,9367
2025-03-07,538.53,538.53,532.7,534.34,5613
2025-03-10,530.99,549.74,530.26,537.05,12213
2025-03-11,542.25,544.68,541.41,542.63,11557
2025-03-12,549.64,554.84,543.19,549.15,21973
2025-03-13,560.0,562.47,549.65,556.87,16633
2025-03-14,575.0,576.12,572.86,574.62,28908
2025-03-17,580.75,589.91,565.94,577.99,28803
2025-03-18,561.93,576.98,556.89,565.63,7551
2025-03-19,567.94,567.94,565.23,565.74,25296
2025-03-20,559.51,560.98,559.51,560.69,10839
2025-03-21,561.07,566.61,548.21,554.09,17309
2025-03-24,551.74,569.04,543.49,554.09,12491
2025-03-25,555.24,555.52,552.12,553.78,4475
2025-03-26,539.1,543.37,539.1,541.32,11063
2025-03-27,546.37,554.85,537.6,548.01,10608
2025-03-28,539.59,552.57,533.03,541.41,14714
2025-03-31,541.86,541.86,536.68,538.29,25634
2025-04-01,546.65,546.65,543.65,544.86,14723
2025-04-02,538.66,539.81,536.06,538.02,18464
2025-04-03,535.09,537.45,528.2,534.09,13024
2025-04-04,552.83,553.03,550.29,551.79,10278
2025-04-07,562.73,568.78,555.78,561.03,14134
2025-04-08,576.03,576.03,575.65,575.83,14396
2025-04-09,588.73,589.52,586.08,588.28,5473
2025-04-10,580.12,587.79,577.77,584.76,13263
2025-04-11,583.06,583.06,577.71,578.56,13409
2025-04-14,599.04,602.29,590.89,595.29,27902
2025-04-15,612.07,619.39,611.88,615.17,13159
2025-04-16,612.73,612.73,603.4,607.84,11828
2025-04-17,605.58,610.35,605.47,606.99,59496
2025-04-18,600.53,600.84,598.86,600.23,32883
2025-04-21,590.98,595.01,588.0,591.13,6656
2025-04-22,586.92,591.53,586.92,591.03,8113
2025-04-23,604.58,610.4,604.58,608.01,14670
2025-04-24,614.45,623.24,613.4,617.05,13135
2025-04-25,606.03,606.03,587.82,597.76,11312
2025-04-28,608.93,611.71,607.77,609.57,9182
2025-04-29,607.14,626.38,582.98,605.47,6442
2025-04-30,596.21,605.16,582.02,593.46,17609
2025-05-01,575.77,579.31,564.05,568.88,14976
2025-05-02,549.3,549.3,545.27,546.73,9268
2025-05-05,550.7,551.96,549.98,551.32,13422
