timestamps,open,high,low,close,volume
2024-09-23,643.95,647.28,640.35,644.14,24140
2024-09-24,651.19,652.92,650.55,651.37,14609
2024-09-25,638.75,645.62,627.95,640.53,25857
2024-09-26,642.34,646.35,642.34,644.64,11078
2024-09-27,644.23,647.5,644.23,646.67,14685
2024-09-30,641.24,641.24,637.93,639.1,10705
2024-10-01,637.96,641.26,626.55,636.49,36523
2024-10-02,630.94,645.03,630.89,638.44,14070
2024-10-03,642.74,657.9,641.59,646.04,22306
2024-10-04,638.5,643.77,636.23,639.69,15300
2024-10-07,619.45,624.71,619.45,621.59,19566
2024-10-08,603.08,610.34,603.08,607.13,33888
2024-10-09,618.21,618.21,613.79,615.52,16534
2024-10-10,620.03,620.03,611.12,612.55,15737
2024-10-11,610.51,616.19,608.45,611.55,26895
2024-10-14,615.06,621.67,606.92,611.76,42770
2024-10-15,621.82,621.82,620.47,620.91,25977
2024-10-16,601.91,604.24,601.26,602.52,6582
2024-10-17,603.91,609.65,597.23,604.3,13567
2024-10-18,602.08,602.08,595.35,598.23,21813
2024-10-21,610.05,612.45,603.91,609.1,17727
2024-10-22,605.37,607.61,604.74,606.18,22780
2024-10-23,599.9,604.06,599.9,602.85,11249
2024-10-24,602.03,612.43,602.03,609.35,14119
2024-10-25,613.6,627.93,602.28,610.92,30691
2024-10-28,619.24,623.52,615.09,619.19,14833
2024-10-29,611.92,612.06,611.2,611.56,38107
2024-10-30,611.16,613.45,611.16,613.03,23092
2024-10-31,628.34,630.79,624.11,628.1,13279
2024-11-01,650.71,650.71,638.87,645.18,16856
2024-11-04,616.05,620.6,614.69,617.73,44676
2024-11-05,624.87,631.55,624.87,628.22,22411
2024-11-06,624.65,626.33,623.67,625.22,26512
2024-11-07,625.12,630.63,624.46,626.75,14321
2024-11-08,637.43,637.59,633.05,635.99,22267
2024-11-11,638.02,645.22,638.02,642.99,16770
2024-11-12,650.37,651.01,650.3,650.56,14890
2024-11-13,645.99,651.28,645.99,650.95,27168
2024-11-14,651.33,658.71,647.08,652.53,16092
2024-11-15,656.47,665.16,646.88,656.41,28147
2024-11-18,657.14,661.7,655.37,659.32,29338
2024-11-19,662.25,674.96,656.92,664.38,14132
2024-11-20,661.91,668.41,653.07,660.05,13889
2024-11-21,675.57,681.09,675.57,680.47,15909
2024-11-22,710.91,710.91,705.02,706.73,17689
2024-11-25,682.28,696.7,681.89,687.57,40726
2024-11-26,678.5,687.48,678.5,681.77,16180
2024-11-27,656.92,657.76,651.2,654.62,16076
2024-11-28,657.35,666.02,657.35,662.62,11821
2024-11-29,640.74,653.78,635.78,645.2,15352
